Name Wetland,ID,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon,,,,,
Laghetto Francischettu 1,ITG27SAR0010,0.015,Interno,31,2066.666667,39.379665,9.074185,,,,,
Laghetto di sa Pispisa,ITG27SAR0011,0.189,Interno,6,31.74603175,39.225977,9.288902,,,,,
Vasca di Baccu Peddis,ITG27SAR0012,0.013,Interno,11,846.1538462,39.177272,9.383769,,,,,
Laghetti a is Serpis,ITG27SAR0017,0.022,Interno,13,590.9090909,39.168224,8.66317,,,,,
Laghetto di M. Oladri2,ITG27SAR0018,0.004,Interno,19,4750,39.368633,9.065146,,,,,
Cava Bruncu Arrubiu 1,ITG27SAR0019,0.005,Interno,17,3400,39.374699,9.071428,,,,,
Laghetto a Canali Angioni,ITG27SAR0020,0.002,Interno,23,11500,39.21274,9.322002,,,,,
Cava di M. Oladri,ITG27SAR0023,0.012,Interno,20,1666.666667,39.365466,9.071612,,,,,
Laghetto S. Luria,ITG27SAR0025,0.003,Interno,15,5000,39.207868,9.300939,,,,,
Cava Bruncu Arrubiu2,ITG27SAR0026,0.004,Interno,13,3250,39.374234,9.073661,,,,,
Laghetto Francischettu 2,ITG27SAR0027,0.015,Interno,37,2466.666667,39.383487,9.07629,,,,,
Cava a Riu Abis,ITG27SAR0028,0.004,Interno,10,2500,39.366178,9.059927,,,,,
Laghetto Francischettu 3,ITG27SAR0031,0.004,Interno,31,7750,39.378656,9.072404,,,,,
Laghetto Francischettu 3,ITG27SAR0036,0.003,Interno,31,10333.33333,39.381485,9.07418,,,,,
Laghetto Francischettu 4,ITG27SAR0037,0.003,Interno,11,3666.666667,39.376429,9.077057,,,,,
Miniera Rosas,ITG27SAR0038,0.006,Interno,13,2166.666667,39.206667,8.721377,,,,,
Laghetto Francischettu 5,ITG27SAR0039,0.004,Interno,22,5500,39.377898,9.075675,,,,,
Laghetto Monte Flacca,ITG27SAR0042,0.03,Interno,19,633.3333333,39.067826,8.723883,,,,,
Diga di Montimannu,ITG27SAR0049,1.035,Interno,2,1.93236715,39.4163,8.713538,,,,,
Palude presso Riu Mannu,ITG27SAR0051,0.011,Interno,13,1181.818182,39.168902,8.713516,,,,,
Bacino del Piano di S. Isidoro,ITG27SAR0056,0.01,Interno,6,600,38.956185,8.727543,,,,,
Stagno 'e Forru,ITG27SAR0076,0.184,Interno,32,173.9130435,39.165249,8.435924,,,,,
Laghetto di Masua,ITG27SAR0083,0.004,Interno,24,6000,39.332663,8.422623,,,,,
Cava 1 Min. di Zinco,ITG27SAR0084,0.002,Interno,44,22000,39.331026,8.423598,,,,,
Laghetto di Enas Longas,ITG27SAR0092,0.001,Interno,25,25000,39.704338,8.458026,,,,,
Pauli sa Cuba,ITG27SAR0094,0.009,Interno,32,3555.555556,39.725154,8.454907,,,,,
Canne Menda,ITG27SAR0097,0.162,Interno,43,265.4320988,39.245101,8.39975,,,,,
Cava di M. Genere 1,ITG27SAR0098,0.004,Interno,15,3750,39.258793,8.419985,,,,,
Cava di M. Genere 2,ITG27SAR0099,0.005,Interno,8,1600,39.256853,8.423566,,,,,
Laghetto presso Su Rosau,ITG27SAR0103,0.001,Interno,10,10000,39.709021,8.465703,,,,,
Laghetto di Flumentorgiu,ITG27SAR0104,0.012,Interno,36,3000,39.682424,8.45351,,,,,
Terramaini,ITG27SAR0615,0.038,Interno,9,236.8421053,39.2454,9.139216,,,,,
Laghetto Modulu,ITG27SAR0619,0.001,Interno,6,6000,39.345544,9.129841,,,,,
Su Stani Saliu,ITG27SAR0625,0.217,Interno,106,488.4792627,39.354465,9.118921,,,,,
Laghetto di Bruncu Arrubiu,ITG27SAR0696,0.005,Interno,9,1800,39.260275,8.88999,,,,,
Laghetto 1 s'Omini Moru,ITG27SAR0700,0.013,Interno,10,769.2307692,39.263038,8.89012,,,,,
Cava di Capitzuru,ITG27SAR0701,0.051,Interno,71,1392.156863,39.249687,9.09008,,,,,
Pauli s'Acqua Bella,ITG27SAR0705,0.016,Interno,10,625,39.262789,8.959609,,,,,
Su Staini Saliu,ITG27SAR0706,0.217,Interno,42,193.5483871,39.33318,9.088616,,,,,
Mitza di M. Truxionis,ITG27SAR0708,0.003,Interno,12,4000,39.269643,8.857592,,,,,
Bacino di San Giorgio,ITG27SAR0716,0.559,Interno,27,48.30053667,39.29174,8.521727,,,,,
Cava di Medau Manna,ITG27SAR0720,0.006,Interno,21,3500,39.26787,8.44003,,,,,
Laghetto del Poggio,ITG27SAR0734,0.038,Interno,7,184.2105263,39.145747,8.975164,,,,,
Laghetto presso S. Girolamo,ITG27SAR0739,0.007,Interno,6,857.1428571,39.143244,8.99753,,,,,
Laghetto 2 presso Coddu de sa Cresia,ITG27SAR0742,0.041,Interno,11,268.2926829,39.11021,9.002348,,,,,
Diga Sa Forada,ITG27SAR0745,0.133,Interno,1,7.518796992,39.538508,8.970875,,,,,
Diga di Casa Fiume,ITG27SAR0748,0.409,Interno,3,7.334963325,39.533229,8.93953,,,,,
Laghetto di is Molas,ITG27SAR0750,0.008,Interno,17,2125,39.002294,8.965533,,,,,
Laghetto di is Molas,ITG27SAR0756,0.021,Interno,17,809.5238095,38.989449,8.948463,,,,,
Diga Gambarussa,ITG27SAR0759,0.05,Interno,55,1100,39.161955,8.907637,,,,,
Laghetto Baustela,ITG27SAR0761,0.035,Interno,15,428.5714286,39.029793,8.965837,,,,,
Laghetto 1 presso Coddu de sa Cresia,ITG27SAR0766,0.015,Interno,21,1400,39.106674,8.998263,,,,,
Diga Perdu Mulas,ITG27SAR0769,0.025,Interno,6,240,39.086083,8.992543,,,,,
Diga di Monte Pranu,ITG27SAR0777,6.219,Interno,15,2.411963338,39.091157,8.608808,,,,,
Laghetto 1 Masainas,ITG27SAR0858,0.018,Interno,12,666.6666667,39.404546,8.850153,,,,,
Isca Flumini Leni,ITG27SAR0917,0.281,Interno,48,170.8185053,39.434858,8.840144,,,,,
Lago Corsi,ITG27SAR0918,0.649,Interno,40,61.63328197,39.331638,8.539652,,,,,
Vasca presso is Garaus,ITG27SAR0921,0.006,Interno,10,1666.666667,39.088678,8.557338,,,,,
Laghetto presso Serra Porcu,ITG27SAR0923,0.001,Interno,9,9000,38.969554,8.729192,,,,,
Diga di M. Capiglia,ITG27SAR0925,0.051,Interno,18,352.9411765,38.942714,8.927968,,,,,
Laghetto del Podere S. Isidoro,ITG27SAR0926,0.001,Interno,21,21000,38.963943,8.962963,,,,,
Vasca 2 di M. S. Giovanni,ITG27SAR0927,0.005,Interno,8,1600,39.052406,8.621304,,,,,
Vasca 1 di M. S. Giovanni,ITG27SAR0929,0.002,Interno,1,500,39.052571,8.623592,,,,,
Cava Panicasu,ITG27SAR0932,0.005,Interno,11,2200,39.076195,8.616962,,,,,
Diga alta di M. Omu,ITG27SAR0933,0.004,Interno,20,5000,39.481565,8.691933,,,,,
Diga bassa di M. Omu,ITG27SAR0934,0.015,Interno,13,866.6666667,39.483024,8.69478,,,,,
Laghetto presso Fornace,ITG27SAR0940,0.015,Interno,43,2866.666667,39.302576,8.583553,,,,,
Laghetto Paderi,ITG27SAR0944,0.009,Interno,1,111.1111111,39.669236,8.921157,,,,,
Laghetto presso Pauli Arbarei,ITG27SAR0945,0.01,Interno,4,400,39.666316,8.914368,,,,,
Laghetto di Tommai,ITG27SAR0946,0.01,Interno,5,500,39.712364,8.930249,,,,,
Pauli Maiori,ITG27SAR0948,0.241,Interno,34,141.0788382,39.746786,8.957998,,,,,
Pauli di Pranu Forru,ITG27SAR0965,0.013,Interno,23,1769.230769,39.769246,8.961688,,,,,
Pauli 4 presso Pauli Bartili,ITG27SAR0966,0.022,Interno,24,1090.909091,39.76732,8.966997,,,,,
Pauli s'Ala de Mengianu,ITG27SAR0967,0.14,Interno,70,500,39.761345,8.949505,,,,,
Pauli di sa Spinarba,ITG27SAR0975,0.035,Interno,59,1685.714286,39.755183,8.988485,,,,,
Cava de S`Acqua Salida,ITG27SAR0995,0.02,Interno,9,450,39.502125,9.065883,,,,,
Invaso di S. Gaetano,ITG27SAR1151,0.041,Interno,6,146.3414634,39.255099,9.276257,,,,,
Invaso di C. Pisu,ITG27SAR1155,0.029,Interno,4,137.9310345,39.249221,9.276754,,,,,
Pauli S. Lussorio,ITG27SAR1157,0.071,Interno,79,1112.676056,39.260394,9.155176,,,,,
Stagno Simbirizzi,ITG27SAR1158,2.828,Interno,110,38.89674682,39.255463,9.214245,,,,,
S'Alinu Mannu,ITG27SAR1166,0.184,Interno,9,48.91304348,39.277226,9.273199,,,,,
Bacino di is Porcus,ITG27SAR1171,0.001,Interno,10,10000,39.162718,8.718903,,,,,
Bacino di Perda Enatza,ITG27SAR1175,0.004,Interno,3,750,39.648438,8.940949,,,,,
Bacino 1 di Piscina Boi,ITG27SAR1176,0.002,Interno,4,2000,39.668765,8.934298,,,,,
Bacino 2 di Piscina Boi,ITG27SAR1177,0.003,Interno,1,333.3333333,39.667215,8.930569,,,,,
Laghetto di Pranu Brebexili,ITG27SAR1232,0.005,Interno,18,3600,39.258574,9.544312,,,,,
Vascone di Pranu Malloccu,ITG27SAR1250,0.018,Interno,20,1111.111111,39.27229,9.544336,,,,,
Bacino di Pranu Mannu,ITG27SAR1402,0.005,Interno,13,2600,39.656809,8.813201,,,,,
Bacino presso Villaperuccio,ITG27SAR1437,0.001,Interno,7,7000,39.115553,8.675011,,,,,
Cava di Crabili,ITG27SAR1440,0.002,Interno,6,3000,39.459944,9.054713,,,,,
Bacino di Procaxius,ITG27SAR1509,0.001,Interno,4,4000,39.162982,8.649172,,,,,
Bacino di is Pintus,ITG27SAR1510,0.001,Interno,11,11000,39.127459,8.650073,,,,,
Bacino 2 del Podere S. Isidoro,ITG27SAR1616,0.001,Interno,6,6000,38.967878,8.966319,,,,,
Bacino del Podere S. Rita,ITG27SAR1617,0.002,Interno,9,4500,38.966799,8.961967,,,,,
Vasca 2 del Podere S. Leonardo,ITG27SAR1619,0.001,Interno,6,6000,38.970595,8.97101,,,,,
Bacino di Cala Pira,ITG27SAR1693,0.001,Interno,10,10000,39.174081,9.559358,,,,,
Pauli del Rio sa Pispisa,ITG27SAR1722,0.029,Interno,5,172.4137931,39.233686,9.294423,,,,,
Bacino di S. Maria,ITG27SAR1775,0.005,Interno,16,3200,39.51023,8.686379,,,,,
Invaso di Ingurtosu,ITG27SAR1776,0.01,Interno,23,2300,39.516833,8.514843,,,,,
Bacino di Corongiu Obias,ITG27SAR1873,0.005,Interno,7,1400,39.504804,9.065386,,,,,
Bacino di Isca Bardella,ITG27SAR1875,0.006,Interno,8,1333.333333,39.383781,9.158732,,,,,
Laghetto di s'Acqua Sassa,ITG27SAR1910,0.001,Interno,8,8000,38.963677,8.73701,,,,,
Laghetto di su Benatzu,ITG27SAR1911,0.007,Interno,11,1571.428571,39.051169,8.698063,,,,,
Pauli Xiveddu,ITG27SAR1917,0.025,Interno,1,40,39.742734,8.955086,,,,,
Laghetto 3 del Golf club di su Scioppadroxiu,ITG27SAR1930,0.019,Interno,8,421.0526316,39.233741,9.284578,,,,,
Bacino Barrua,ITG27SAR1936,0.001,Interno,12,12000,39.070775,8.694198,,,,,
Laghetto 2 di Tanca e sa Tuerra,ITG27SAR1937,0.003,Interno,25,8333.333333,38.901963,8.879213,,,,,
Piscina Suigas,ITG27SAR2000,0.05,Interno,17,340,39.436723,8.439832,,,,,
Paule di Cioffa,ITG27SAR2015,0.069,Interno,29,420.2898551,39.163534,9.00306,,,,,
Bacino di Siuru,ITG27SAR2050,0.011,Interno,29,2636.363636,39.369047,8.616119,,,,,
Diga Gutturu 'e Sattu,ITG27SAR2052,0.016,Interno,26,1625,39.357733,8.440761,,,,,
Diga di Gutturu Fenugu,ITG27SAR2055,0.002,Interno,33,16500,39.479379,8.646689,,,,,
Codoleddu,ITG27SAR2066,0.072,Interno,111,1541.666667,39.251777,9.393676,,,,,
Pauli s'Ala Mardi,ITG27SAR2130,0.018,Interno,77,4277.777778,39.762873,8.945194,,,,,
Corti Baccas,ITG27SAR2140,0.46,Interno,22,47.82608696,39.598413,8.650199,,,,,
S. Forzorio,ITG27SAR2175,0.054,Interno,33,611.1111111,39.239046,9.238683,,,,,
Laghetto 2 s'Omini Moru,ITG27SAR2288,0.015,Interno,12,800,39.263367,8.887177,,,,,
Cava di su Siccesu,ITG27SAR2299,0.015,Interno,2,133.3333333,39.423167,9.172807,,,,,
Laghetto di Case Basciu,ITG27SAR2303,0.002,Interno,14,7000,39.019533,8.386315,,,,,
Laghetto del Podere S. Isidoro,ITG27SAR2688,0.001,Interno,21,21000,38.962815,8.961421,,,,,
Cava di Is Pireddas,ITG27SAR2696,0.002,Interno,12,6000,39.108323,8.681427,,,,,
Laghetto Sierina,ITG27SAR2697,0.005,Interno,11,2200,39.122485,8.654816,,,,,
Bacino minore di S. Maria,ITG27SAR2712,0.001,Interno,15,15000,39.508756,8.685481,,,,,
Laghetto di Domus Nieddas,ITG27SAR2713,0.002,Interno,23,11500,39.29029,8.463243,,,,,
Prato umido di Domus Nieddas,ITG27SAR2714,0.002,Interno,22,11000,39.289182,8.464664,,,,,
Vasca della Miniera di Domus Nieddas,ITG27SAR2715,0.001,Interno,12,12000,39.288377,8.462784,,,,,
Prato umido di Medau Sari,ITG27SAR2730,0.003,Interno,7,2333.333333,39.353898,8.440312,,,,,
Cava 2 Min. di Zinco,ITG27SAR2733,0.007,Interno,40,5714.285714,39.330426,8.427099,,,,,
Mitza de su Crobu,ITG27SAR2737,0.001,Interno,31,31000,39.7142,9.108471,,,,,
Laghetto di Santa Vittoria,ITG27SAR2738,0.002,Interno,36,18000,39.71279,9.1034,,,,,
Perdu Locci,ITG27SAR2744,0.035,Interno,37,1057.142857,38.995503,9.012221,,,,,
