Name Wetland,State,ID,Area (km2),Species richness,Species normalized,lat,lon,Groundwater recharge,Groundwater depth,Evaporation,Discharge,Salinity,BOD,bod,TP,ec,NOXN
Adelaide River Floodplain System,NT,58,1348,706,0.523739,-12.1667,131.1667,0.001001,16.0579,1.26535,0.979679,81.6976,0.010667,1.009421,0.144721,123.1696,0.289858
Arafura Swamp,NT,59,714,743,1.040616,-12.3833,134.7167,0.001019,14.1077,1.12785,22.05747,88.385,0.000747,1.001365,0.133454,118.2449,0.261268
Blyth—Cadell Floodplain and Boucaut Bay System,NT,60,355,101,0.284507,-12,134.3333,0.000781,9.67074,1.14144,47.5565,72.0537,0.000273,0.978358,0.146612,134.1738,0.26944
Cobourg Peninsula System,NT,61,840,508,0.604762,-11.1167,131.75,0.000886,12.3688,1.14269,0.880463,87.0458,0.005562,0.953509,0.164397,94.56643,0.258587
Daly—Reynolds Floodplain—Estuary System,NT,62,1593,333,0.20904,-13.1,130.1167,0.000932,49.08385,1.10266,3.32868,83.369,0.011322,1.27235,0.191771,130.4982,0.290748
Finniss Floodplain and Fog Bay System,NT,63,813,414,0.509225,-12.7333,130.15,0.001379,3.130725,1.18603,1.44099,78.4573,0,0.947388,0.144134,91.98996,0.259214
Mary Floodplain System,NT,64,1276,518,0.405956,-12.2,131.5167,0.000968,27.385,1.21471,1.19021,79.8249,0.002401,0.981765,0.111855,80.07323,0.228971
Moyle Floodplain and Hyland Bay System,NT,65,481,154,0.320166,-13.8833,129.5833,0.000812,3.98281,1.09628,0.857599,1.00E+31,1.00E+31,1.298547,0.174973,193.851,0.345889
Murgenella-Cooper Floodplain System,NT,66,815,238,0.292025,-11.6,132.5667,0.000983,20.45372,1.16943,18.5741,85.2422,0.003223,1.056074,0.214884,128.9367,0.290566
Legune Wetlands,NT,67,90,26,0.288889,-15.2639,129.3806,0.000228,5.63094,1.10178,0.613761,1.00E+31,1.00E+31,1.143116,0.187626,213.9469,0.278868
Mount Bundey Training Area —Mary River Floodplain,NT,68,1050,4,0.00381,-13.2,131.1833,0.0007,4.60237,1.15933,7.36336,81.8036,0.00283,1.068445,0.135782,113.7112,0.259733
Blue Lake (Kosciuszko),NSW,69,0.14,118,842.8571,-36.4,148.3167,0.00046,498.344,0.805541,1.87439,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
"Kosciusko Alpine Fens, Bogs and Lakes",NSW,70,0.3,2,6.666667,-36.2667,148.1667,6.08E-05,278.486,0.99235,0.110304,1.00E+31,1.00E+31,1.023678,0.086597,165.1167,0.260819
Bulloo Overflow/Carypundy Swamp,NSW,71,1785.6,39,0.021841,-29,142.2833,5.53E-06,8.773815,0.213284,0.006501,1.00E+31,1.00E+31,1.432814,0.277258,867.1947,0.49176
Salisbury Lake (Lake Altibouka),NSW,72,5.65,3,0.530973,-29.8167,142.75,-3.08E-12,4.31978,0.229158,0.000876,1.00E+31,1.00E+31,1.449158,0.308706,857.73,0.539064
Gwydir Wetlands,NSW,73,1021.2,349,0.341755,-29.1,149.2667,0.000998,44.88527,1.148267,22.27013,30.9251,0.149809,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Macquarie Marshes,NSW,74,2000,680,0.34,-30.5,147.4667,6.45E-06,7.511205,0.418434,0.10002,1.00E+31,1.00E+31,1.780879,0.167384,741.7812,0.540727
Menindee Lakes,NSW,75,450,219,0.486667,-32.1667,142.1667,2.18E-06,12.91605,0.384287,258.583,1.00E+31,1.00E+31,1.487707,0.230294,890.8062,0.519881
Narran Lakes,NSW,76,300,324,1.08,-29.6833,147.2833,3.93E-06,8.653545,0.401454,0.065295,1.00E+31,1.00E+31,1.69177,0.177223,857.1708,0.538144
Paroo River Distributary Channels,NSW,77,7200,239,0.033194,-29.5,143.4667,-4.27E-11,32.69145,0.258767,9.43E-06,1.00E+31,1.00E+31,1.433672,0.337009,806.3317,0.495498
Yantabulla Swamp (Cuttaburra Basin),NSW,78,372,261,0.701613,-29.25,144.85,-2.79E-09,4.23448,0.286847,0.230323,1.00E+31,1.00E+31,1.45703,0.328136,823.4156,0.535521
Darling Anabranch Lakes,NSW,79,2690,106,0.039405,-33.0333,141.5833,-8.65E-11,20.42276,0.259916,0.008291,1.00E+31,1.00E+31,1.453088,0.229499,838.7219,0.488063
Lowbidgee Floodplain,NSW,80,2000,76,0.038,-34.4,143.6333,7.08E-06,189.8324,0.276018,0.050713,1.00E+31,1.00E+31,1.708527,0.207994,821.8487,0.55673
Little Llangothlin Lagoon,NSW,81,2.58,7,2.713178,-30.0833,151.7833,2.77E-07,26.6017,0.853679,0.009964,1.00E+31,1.00E+31,1.147963,0.080197,249.7092,0.348497
New England Wetlands,NSW,82,0.3,63,210,-30.0333,151.4667,9.23E-05,191.9581,0.727797,0.209442,1.00E+31,1.00E+31,1.624349,0.095998,409.2379,0.421712
Round Mountain Swamps,NSW,83,3,79,26.33333,-30.4333,152.25,1.53E-05,78.955,1.04396,0.01455,1.00E+31,1.00E+31,0.872436,0.089007,186.3956,0.327356
Barrington Tops Swamps,NSW,84,15,9,0.6,-32,151.3667,2.22E-05,239.14,1.007946,0.05975,1.00E+31,1.00E+31,1.392755,0.094277,324.0647,0.435973
Upper Coldstream,NSW,85,19.95,211,10.57644,-29.65,153.0667,0.000146,2.73973,1.207955,33.04229,1.00E+31,1.00E+31,1.103911,0.083697,136.4313,0.44734
Lake Cowal/Wilbertroy Wetlands,NSW,86,205,217,1.058537,-33.4667,147.35,1.82E-05,6.42158,0.431408,8.00092,248.5376,2.550404,1.995022,0.165347,583.223,0.623213
Tomneys Plain,NSW,87,0.9,10,11.11111,-35.7333,148.25,8.68E-05,100.573,1.04297,4.77782,1.0162,5.91E-05,1.506516,0.091171,263.6326,0.40215
Black Swamp and Coopers Swamp,NSW,88,3.5,47,13.42857,-35.05,145.75,1.32E-05,3.91904,0.409415,0.014614,1.00E+31,1.00E+31,2.180631,0.195216,644.6883,0.687425
Great Cumbung Swam,NSW,89,160,158,0.9875,-34.2167,143.9167,7.06E-06,5.28323,0.325134,18.81449,486.346,0.043678,1.598658,0.172289,674.2969,0.460211
Koondrook and Perricoota Forests,NSW,90,311.5,435,1.396469,-35.5333,144.1333,1.62E-05,2.35516,0.378907,96.28203,64.6497,0.250151,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lachlan Swamp,NSW,91,66,270,4.090909,-34.0333,144.4167,2.65E-05,2.56154,0.305181,2.881545,3370.13,0.481461,1.681928,0.177102,687.6324,0.502393
Lake Brewster,NSW,92,61.4,91,1.482085,-33.4667,145.9667,2.96E-06,12.1057,0.436426,0.0755,1.00E+31,1.00E+31,1.829948,0.204757,956.3725,0.621595
Lake Merrimajeel/Murrumbidgil Swamp,NSW,93,3,130,43.33333,-33.8167,144.85,5.18E-05,2.64122,0.312987,0.039763,1.00E+31,1.00E+31,1.705703,0.241084,825.6262,0.594309
Merrowie Creek (Cuba Dam to Chillichil Swamp),NSW,94,25,119,4.76,-34.1667,143.9,6.94E-07,3.27837,0.262448,0.017647,1.00E+31,1.00E+31,1.704102,0.25601,981.659,0.558737
Millewa Forest,NSW,95,336.36,766,2.277322,-35.5833,144.8833,0.000134,3.437035,0.479194,0.105198,1.00E+31,1.00E+31,2.050521,0.193042,633.1317,0.627094
Werai Forest,NSW,96,112.34,310,2.75948,-35.25,144.35,1.70E-05,6.11792,0.348461,0.935767,641.865,0.557648,1.927422,0.168011,539.1804,0.596045
The Salt Lake,NSW,97,58.16,26,0.447043,-30.0333,142.0833,2.01E-20,19.2724,0.193509,0,1.00E+31,1.00E+31,1.351027,0.206066,605.5702,0.42543
Bega Swamp,NSW,98,0.23,40,173.913,-36.525,149.5083,1.19E-05,251.141,0.774557,0.049309,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Big Badja Swamp,NSW,99,1.06,1,0.943396,-36.05,149.5333,0.000775,139.294,0.492741,0.810012,1.00E+31,1.00E+31,0.735806,0.064383,235.9998,0.291807
Lake Bathurst,NSW,100,13.5,54,4,-35.0167,149.6667,4.81E-08,26.80325,0.655952,0.00116,1.00E+31,1.00E+31,1.319157,0.082004,281.3735,0.449623
Lake George,NSW,101,150,184,1.226667,-35.2167,149.3667,1.08E-05,36.1625,0.670712,0.015675,1.00E+31,1.00E+31,1.994433,0.134854,343.7251,0.632514
Micalong Swamp,NSW,102,5.26,48,9.125475,-35.3333,148.5167,8.34E-06,147.492,0.848944,0.018572,1.00E+31,1.00E+31,1.872526,0.102649,341.7668,0.563222
Monaro Lakes,NSW,103,2.15,146,67.90698,-36,148,0.000638,45.3518,0.633708,3.253655,4.18769,0.990826,1.421352,0.113938,293.2982,0.391615
Yaouk Swamp,NSW,104,0.56,124,221.4286,-35.8167,148.8333,3.31E-05,93.9987,0.906152,0.051135,1.00E+31,1.00E+31,0.819766,0.089624,169.9173,0.2807
Botany Wetlands,NSW,105,0.64,26,40.625,-33.9333,151.2167,0.001987,12.86,0.294859,1.64489,1.00E+31,1.00E+31,1.09808,0.085431,131.8602,0.736374
Longneck Lagoon,NSW,106,0.24,111,462.5,-33.5667,150.8833,0.000485,17.7318,0.671079,13.9182,955.245,3.3484,0.908803,0.087165,212.0311,0.312547
O’Hares Creek Catchment,NSW,107,90,2,0.022222,-34.1167,150.8167,0.000101,25.42355,0.869202,1.20236,1.00E+31,67.6454,1.22337,0.139248,151.5232,0.662663
Pitt Town Lagoon,NSW,108,0.41,31,75.60976,-33.6,150.85,0.000156,15.3038,0.829476,0.974134,1830.84,112.017,1.45586,0.119216,360.6363,0.559006
Thirlmere Lakes,NSW,109,0.5,121,242,-34.2333,150.5333,5.00E-05,45.084,0.882093,0.038021,1.00E+31,1.00E+31,0.761289,0.069113,180.9148,0.376752
Wingecarribee Swamp,NSW,110,6.91,22,3.183792,-34.0667,150.5,3.46E-05,178.072,0.880756,0.032818,1.00E+31,1.00E+31,1.352124,0.114241,249.7394,0.52318
Mullawoolka Basin,NSW,111,20.26,18,0.88845,-30.5167,143.8333,-3.51E-13,6.29818,0.227878,1.95E-06,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Poloko Lake (Olepoloko Lake),NSW,112,37.22,49,1.316497,-30.7333,143.6667,-5.62E-13,9.50467,0.231499,0.159506,1.00E+31,1.00E+31,1.55885,0.281624,929.6086,0.559202
Tongo Lak,NSW,113,5.24,1,0.19084,-30.45,143.75,-7.31E-12,4.6891,0.248483,0.17924,1.00E+31,1.00E+31,1.455542,0.361651,922.9836,0.55621
Yantabangee Lake,NSW,114,14.27,2,0.140154,-30.5667,143.75,-2.09E-11,4.25654,0.232361,0.173759,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Cowans Pond Reserve,NSW,115,0.05,4,80,-29.6889,152.8889,0.000402,27.9668,0.791065,65.9976,1.00E+31,1.00E+31,0.86385,0.080069,184.6199,0.303022
Doodle Cooma Swamp,NSW,116,17,112,6.588235,-35.5333,147,1.36E-08,28.4141,0.678629,9.04E-05,1.00E+31,1.00E+31,2.20142,0.204029,459.6943,0.7091
Walla Walla Swamp (Gum Swamp),NSW,117,2,58,29,-35.7333,146.9167,2.27E-14,4.13362,0.562379,0.066549,1.00E+31,1.00E+31,1.922879,0.194089,476.8527,0.609943
Fivebough Swamp,NSW,118,4,2,0.5,-34.5333,140.4333,-2.70E-13,32.156,0.328667,5.45E-07,1.00E+31,1.00E+31,2.114394,0.203804,570.191,0.695946
Coree Flats,NSW,119,0.4,10,25,-35.2833,148.8,9.22E-06,317.336,0.846091,0.025006,1.00E+31,1.00E+31,1.604936,0.093124,328.3515,0.454372
Packers Swamp,NSW,120,0.4,6,15,-36.75,149.4333,5.66E-09,95.3267,0.645022,0.002611,1.00E+31,1.00E+31,0.967792,0.102635,241.9152,0.428715
Calbocaro Billabong,NSW,121,0.66,107,162.1212,-29.8667,144.15,2.79E-05,2.70379,0.286068,0.586217,1.00E+31,1.00E+31,1.391202,0.307539,803.9304,0.486424
Deadmans Swamp,NSW,122,4.71,214,45.43524,-30.4667,144.15,2.84E-06,8.48679,0.258779,0.026014,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Dick Lake,NSW,123,7.08,2,0.282486,-30.4667,144.15,2.84E-06,8.48679,0.258779,0.026014,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Waitchie Lake,NSW,124,2.05,1,0.487805,-30.1667,144,8.78E-06,3.87762,0.268467,0.178363,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Yammaramie Swamp,NSW,125,30.82,1,0.032446,-30.4667,144.2,-1.70E-15,6.86975,0.272214,0.032161,1.00E+31,1.00E+31,1.451865,0.280623,858.3176,0.493225
Toms Lake,NSW,126,2.39,1,0.41841,-29.5833,145.7667,7.45E-06,10.8575,0.279357,0.166921,1.00E+31,1.00E+31,1.452229,0.233058,856.4744,0.470825
Culgoa River Floodplain,NSW,127,229.86,277,1.205081,-29.1167,147.0833,4.63E-06,7.81954,0.522926,116.33,6.55117,0.023159,1.502451,0.172505,781.0537,0.470065
Tabourie Lake,NSW,128,2.85,49,17.19298,-35.4244,150.415,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,0.51712,0.051522,102.1673,0.209857
Termeil Lake Wetland,NSW,129,0.71,6,8.450704,-35.46,150.3906,1.04E-05,28.5926,0.978213,0.030564,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Meroo Lake Wetland,NSW,130,1.76,21,11.93182,-35.4806,150.3822,1.04E-05,28.5926,0.978213,0.030564,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Beecroft Peninsula,NSW,131,40.44,850,21.01879,-35,150.7667,0.000415,14.76575,0.713771,0.69354,1.00E+31,1.00E+31,1.032974,0.101286,175.5052,0.547246
liverpool Military Training Area,NSW,132,150,13,0.086667,-33.9833,150.9833,0.001053,15.2759,0.449554,2.76369,1635.37,53.5514,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Salt Ash Air Weapons Range,NSW,133,27.9,211,7.562724,-32.7833,152,1.00E+31,5.73534,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.137134,0.110122,173.8645,0.508995
Eagle Tarn Sphagnum,TAS,134,0.01,3,300,-42.6811,146.5899,0.001352,277.913,0.457512,2.96825,28.0973,0.097647,0.760107,0.062349,168.7479,0.30744
Lake Lea,TAS,135,1,25,25,-41.5176,145.9154,0.004253,69.2604,0.786207,3.16981,16.43,0.064408,0.674457,0.05724,94.48441,0.326376
Maggs Mountain Sphagnum,TAS,136,0.01,5,500,-41.7522,146.1821,0.003415,158.461,0.447876,17.6333,9.54724,0.005713,0.428092,0.055513,92.29287,0.149056
Mt Rufus Sphagnum,TAS,137,0.01,11,1100,-42.1271,146.0974,0.003678,138.289,0.304994,2.71556,51.869,0,0.397654,0.031897,73.09866,0.105956
Shadow Lake Sphagnum,TAS,138,0.01,1,100,-42.0975,146.1172,0.003678,138.289,0.304994,2.71556,51.869,0,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Douglas River,TAS,139,1,3,3,-41.7832,148.2696,1.00E+31,6.60187,1.00E+31,1.00E+31,1.00E+31,1.00E+31,0.552774,0.069011,92.7153,0.268792
Bells Lagoon,TAS,140,0.8,2,2.5,-42.0824,147.3506,0.000159,48.7293,0.509851,0.173913,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Cataract Gorge,TAS,141,0.01,8,800,-41.4425,147.1245,0.00071,46.4597,0.470121,88.2728,6.47338,0.813337,0.890263,0.077059,164.7524,0.388088
Lake Dulverton,TAS,142,2,19,9.5,-42.3165,147.3823,0.000565,58.1706,0.312046,0.569378,1.00E+31,1.00E+31,0.765274,0.062545,164.8641,0.347064
Near Lagoon,TAS,143,0.15,1,6.666667,-42.0704,147.4352,2.94E-05,35.3795,0.588214,0.779526,1.00E+31,1.00E+31,0.737859,0.070491,180.482,0.250513
Township Lagoon,TAS,144,0.1,16,160,-42.1497,147.4285,1.10E-06,17.2018,0.590523,0.307431,1.00E+31,1.00E+31,0.832956,0.088013,199.1534,0.288861
White Lagoon,TAS,145,0.1,27,270,-42.1,147.4333,1.10E-06,17.2018,0.590523,0.307431,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Flannigan,TAS,146,1.5,8,5.333333,-39.6197,143.9536,0.001539,22.3083,0.401249,1.22417,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lavinia Nature Reserve,TAS,147,69.04,23,0.33314,-39.7032,144.0491,5.52E-05,12.1243,0.893918,0.041007,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31,1.00E+31
Lake Chisholm,TAS,148,0.05,2,40,-41.1344,145.0639,0.002277,51.8926,0.895575,91.5583,103.557,0.333257,0.539631,0.048425,78.14611,0.186503
Lake Surprise,TAS,149,0.25,7,28,-42.9939,146.1572,0.004121,100.112,0.614686,48.764,81.4612,3.95E-05,0.402059,0.028099,66.10741,0.113361
Lake Sydney,TAS,150,0.1,4,40,-43.2899,146.608,0.001695,187.915,0.688805,1.22535,107.409,0.002708,0.431506,0.026675,79.88924,0.145721
Mount Buffalo Peatlands,VIC,151,0.07,89,1271.429,-36.7833,146.7667,0.001635,366.755,0.541387,1.46316,16.5924,0.005924,1.216635,0.097583,177.8539,0.28941
Belsar Island,VIC,152,25,233,9.32,-34.6667,142.9333,4.18E-06,9.68307,0.473042,296.17,258.264,0.008666,1.833418,0.202529,688.8332,0.610064
