Name Wetland,State,ID,Area (km2),Species richness,Species normalized,lat,lon,Groundwater recharge,Groundwater depth,Evaporation,Discharge,Salinity,BOD,bod,TP,ec,NOXN,SatAreaFrac,SatAreaFrac_20,SatAreaFrac_40,SatAreaFrac_60
Tongo Lak,NSW,113,5.24,1,0.19084,-30.45,143.75,-7.31e-12,4.6891,0.248483,0.17924,1e+31,1e+31,1.455542,0.361651,922.9836,0.55621,0.009037895128130913,0.0008619523141533,0.0017239046283066,0.0025858569424599
Yantabangee Lake,NSW,114,14.27,2,0.140154,-30.5667,143.75,-2.09e-11,4.25654,0.232361,0.173759,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.009379567578434944,0.0008983490988612,0.0017966981977224,0.0026950472965836
Cowans Pond Reserve,NSW,115,0.05,4,80.0,-29.6889,152.8889,0.000402,27.9668,0.791065,65.9976,1e+31,1e+31,0.86385,0.080069,184.6199,0.303022,0.6438553333282471,0.5697777271270752,0.6305922269821167,0.6748734712600708
Doodle Cooma Swamp,NSW,116,17.0,112,6.588235,-35.5333,147.0,1.36e-08,28.4141,0.678629,9.04e-05,1e+31,1e+31,2.20142,0.204029,459.6943,0.7091,0.1736239343881607,0.0072461543604731,0.0335335917770862,0.1596837639808654
Walla Walla Swamp (Gum Swamp),NSW,117,2.0,58,29.0,-35.7333,146.9167,2.27e-14,4.13362,0.562379,0.066549,1e+31,1e+31,1.922879,0.194089,476.8527,0.609943,0.10904727876186371,0.0044562947005033,0.0160191729664802,0.0804840847849845
Fivebough Swamp,NSW,118,4.0,2,0.5,-34.5333,140.4333,-2.7e-13,32.156,0.328667,5.45e-07,1e+31,1e+31,2.114394,0.203804,570.191,0.695946,0.04013514891266823,0.0014978102408349,0.00427664257586,0.0265861321240663
Coree Flats,NSW,119,0.4,10,25.0,-35.2833,148.8,9.22e-06,317.336,0.846091,0.025006,1e+31,1e+31,1.604936,0.093124,328.3515,0.454372,0.19025234878063202,0.0131303202360868,0.0615830533206462,0.1744096577167511
Packers Swamp,NSW,120,0.4,6,15.0,-36.75,149.4333,5.66e-09,95.3267,0.645022,0.002611,1e+31,1e+31,0.967792,0.102635,241.9152,0.428715,0.09546692669391632,0.0050995727069675,0.0180609859526157,0.0546541139483451
Calbocaro Billabong,NSW,121,0.66,107,162.1212,-29.8667,144.15,2.79e-05,2.70379,0.286068,0.586217,1e+31,1e+31,1.391202,0.307539,803.9304,0.486424,0.3308120667934418,0.1530483365058899,0.2866619825363159,0.4091227352619171
Deadmans Swamp,NSW,122,4.71,214,45.43524,-30.4667,144.15,2.84e-06,8.48679,0.258779,0.026014,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.1001976951956749,0.0845249146223068,0.090168759226799,0.0963522940874099
Dick Lake,NSW,123,7.08,2,0.282486,-30.4667,144.15,2.84e-06,8.48679,0.258779,0.026014,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.1001976951956749,0.0845249146223068,0.090168759226799,0.0963522940874099
Waitchie Lake,NSW,124,2.05,1,0.487805,-30.1667,144.0,8.78e-06,3.87762,0.268467,0.178363,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.14193415641784668,0.0597813166677951,0.1250930577516555,0.1710153818130493
Yammaramie Swamp,NSW,125,30.82,1,0.032446,-30.4667,144.2,-1.7e-15,6.86975,0.272214,0.032161,1e+31,1e+31,1.451865,0.280623,858.3176,0.493225,0.010992182418704033,0.0007441317429766,0.0014882634859532,0.0034895529970526
Toms Lake,NSW,126,2.39,1,0.41841,-29.5833,145.7667,7.45e-06,10.8575,0.279357,0.166921,1e+31,1e+31,1.452229,0.233058,856.4744,0.470825,0.028500748798251152,0.0025852429680526,0.0086507145315408,0.0189387574791908
Culgoa River Floodplain,NSW,127,229.86,277,1.205081,-29.1167,147.0833,4.63e-06,7.81954,0.522926,116.33,6.55117,0.023159,1.502451,0.172505,781.0537,0.470065,0.5057687163352966,0.4472133815288543,0.4921945631504059,0.5287914276123047
Tabourie Lake,NSW,128,2.85,49,17.19298,-35.4244,150.415,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.51712,0.051522,102.1673,0.209857,0.14721152186393738,0.0132149932906031,0.0487143620848655,0.121878869831562
Termeil Lake Wetland,NSW,129,0.71,6,8.450704,-35.46,150.3906,1.04e-05,28.5926,0.978213,0.030564,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.14721152186393738,0.0132149932906031,0.0487143620848655,0.121878869831562
Meroo Lake Wetland,NSW,130,1.76,21,11.93182,-35.4806,150.3822,1.04e-05,28.5926,0.978213,0.030564,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.14721152186393738,0.0132149932906031,0.0487143620848655,0.121878869831562
Beecroft Peninsula,NSW,131,40.44,850,21.01879,-35.0,150.7667,0.000415,14.76575,0.713771,0.69354,1e+31,1e+31,1.032974,0.101286,175.5052,0.547246,,,,
liverpool Military Training Area,NSW,132,150.0,13,0.086667,-33.9833,150.9833,0.001053,15.2759,0.449554,2.76369,1635.37,53.5514,1e+31,1e+31,1e+31,1e+31,0.6406964659690857,0.5798357129096985,0.6305415630340576,0.6687251925468445
Salt Ash Air Weapons Range,NSW,133,27.9,211,7.562724,-32.7833,152.0,1e+31,5.73534,1e+31,1e+31,1e+31,1e+31,1.137134,0.110122,173.8645,0.508995,,,,
Eagle Tarn Sphagnum,TAS,134,0.01,3,300.0,-42.6811,146.5899,0.001352,277.913,0.457512,2.96825,28.0973,0.097647,0.760107,0.062349,168.7479,0.30744,0.4760846495628357,0.420099526643753,0.4675135314464569,0.5025117993354797
Lake Lea,TAS,135,1.0,25,25.0,-41.5176,145.9154,0.004253,69.2604,0.786207,3.16981,16.43,0.064408,0.674457,0.05724,94.48441,0.326376,0.497067391872406,0.4414431452751159,0.4953688085079193,0.5304232239723206
Maggs Mountain Sphagnum,TAS,136,0.01,5,500.0,-41.7522,146.1821,0.003415,158.461,0.447876,17.6333,9.54724,0.005713,0.428092,0.055513,92.29287,0.149056,0.5226801037788391,0.4904405474662781,0.5186657309532166,0.5382721424102783
Mt Rufus Sphagnum,TAS,137,0.01,11,1100.0,-42.1271,146.0974,0.003678,138.289,0.304994,2.71556,51.869,0.0,0.397654,0.031897,73.09866,0.105956,0.49987366795539856,0.4732953310012817,0.4942765533924103,0.5107738375663757
Shadow Lake Sphagnum,TAS,138,0.01,1,100.0,-42.0975,146.1172,0.003678,138.289,0.304994,2.71556,51.869,0.0,1e+31,1e+31,1e+31,1e+31,0.49987366795539856,0.4732953310012817,0.4942765533924103,0.5107738375663757
Douglas River,TAS,139,1.0,3,3.0,-41.7832,148.2696,1e+31,6.60187,1e+31,1e+31,1e+31,1e+31,0.552774,0.069011,92.7153,0.268792,,,,
Bells Lagoon,TAS,140,0.8,2,2.5,-42.0824,147.3506,0.000159,48.7293,0.509851,0.173913,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.4304424822330475,0.3062571287155151,0.3881813883781433,0.453825831413269
Cataract Gorge,TAS,141,0.01,8,800.0,-41.4425,147.1245,0.00071,46.4597,0.470121,88.2728,6.47338,0.813337,0.890263,0.077059,164.7524,0.388088,0.5497282147407532,0.4208565652370453,0.5025454759597778,0.5889598727226257
Lake Dulverton,TAS,142,2.0,19,9.5,-42.3165,147.3823,0.000565,58.1706,0.312046,0.569378,1e+31,1e+31,0.765274,0.062545,164.8641,0.347064,0.6648272275924683,0.6278398633003235,0.6626952290534973,0.6821517944335938
Near Lagoon,TAS,143,0.15,1,6.666667,-42.0704,147.4352,2.94e-05,35.3795,0.588214,0.779526,1e+31,1e+31,0.737859,0.070491,180.482,0.250513,0.17152228951454163,0.0294100549072027,0.1085220649838447,0.179490864276886
Township Lagoon,TAS,144,0.1,16,160.0,-42.1497,147.4285,1.1e-06,17.2018,0.590523,0.307431,1e+31,1e+31,0.832956,0.088013,199.1534,0.288861,0.1927485316991806,0.031217822805047,0.1257473975419998,0.2099646478891372
White Lagoon,TAS,145,0.1,27,270.0,-42.1,147.4333,1.1e-06,17.2018,0.590523,0.307431,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.1927485316991806,0.031217822805047,0.1257473975419998,0.2099646478891372
Lake Flannigan,TAS,146,1.5,8,5.333333,-39.6197,143.9536,0.001539,22.3083,0.401249,1.22417,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.6550208330154419,0.6383784413337708,0.654969334602356,0.6646883487701416
Lavinia Nature Reserve,TAS,147,69.04,23,0.33314,-39.7032,144.0491,5.52e-05,12.1243,0.893918,0.041007,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.17663833498954773,0.0712748989462852,0.1178297400474548,0.1925851553678512
Lake Chisholm,TAS,148,0.05,2,40.0,-41.1344,145.0639,0.002277,51.8926,0.895575,91.5583,103.557,0.333257,0.539631,0.048425,78.14611,0.186503,0.5760685205459595,0.4423071444034576,0.5698182582855225,0.6522217392921448
Lake Surprise,TAS,149,0.25,7,28.0,-42.9939,146.1572,0.004121,100.112,0.614686,48.764,81.4612,3.95e-05,0.402059,0.028099,66.10741,0.113361,0.5246961116790771,0.4946049153804779,0.5180551409721375,0.5367171764373779
Lake Sydney,TAS,150,0.1,4,40.0,-43.2899,146.608,0.001695,187.915,0.688805,1.22535,107.409,0.002708,0.431506,0.026675,79.88924,0.145721,0.46629777550697327,0.4030962586402893,0.4634334743022918,0.5030349493026733
Mount Buffalo Peatlands,VIC,151,0.07,89,1271.429,-36.7833,146.7667,0.001635,366.755,0.541387,1.46316,16.5924,0.005924,1.216635,0.097583,177.8539,0.28941,0.5922696590423584,0.4961826503276825,0.5796586871147156,0.6418545246124268
Belsar Island,VIC,152,25.0,233,9.32,-34.6667,142.9333,4.18e-06,9.68307,0.473042,296.17,258.264,0.008666,1.833418,0.202529,688.8332,0.610064,0.18985393643379211,0.1571564823389053,0.1720179170370102,0.1881730556488037
Beveridge Island,VIC,153,10.18,4,0.392927,-35.25,143.55,5.01e-05,5.77587,0.407489,0.291087,149.978,6.58015,2.080873,0.196394,619.6784,0.732057,0.41635385155677795,0.3674466907978058,0.3937437236309051,0.4210182130336761
"Bunguluke Wetlands, Tyrrell Creek& Lalbert Creek Floodplains",VIC,154,5.3,299,56.41509,-36.0667,143.3667,1.1e-05,2.95482,0.408373,7.10873,76.4185,0.925274,2.008734,0.210469,619.2481,0.641053,0.11279650032520294,0.005919539835304,0.0340745449066162,0.1079493835568428
Hattah Lakes,VIC,155,10.18,334,32.80943,-34.7,142.35,3.53e-06,10.28364,0.278691,0.06028,1e+31,1e+31,1.954333,0.195223,585.0745,0.62247,0.20967929065227509,0.1819224208593368,0.1924678981304168,0.2069409191608429
Heards Lake,VIC,156,1.35,5,3.703704,-36.8167,141.8167,7.82e-05,20.0966,0.355984,0.621862,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.5864253640174866,0.5020673274993896,0.540600061416626,0.6064786314964294
Heywoods Lake,VIC,157,2.28,6,2.631579,-34.7833,143.2,1.5e-06,8.11579,0.302411,0.00108,1e+31,1e+31,1.929501,0.191669,594.0272,0.623887,0.052996668964624405,0.0027501427102833,0.0110563170164823,0.0405646041035652
Kings Billabong Wetlands,VIC,158,5.02,148,29.48207,-34.2378,142.2257,8.85e-06,9.97148,0.522695,292.755,283.194,0.037322,1.740233,0.219404,843.1075,0.606561,0.04931030422449112,0.0118961157277226,0.0273277908563613,0.0474319495260715
Lake Albacutya,VIC,159,57.0,235,4.122807,-35.75,141.9667,2.07e-14,6.62893,0.478717,6.16525,1e+31,1e+31,1.784579,0.168918,562.0888,0.527819,0.35097697377204895,0.2719371914863586,0.3183637857437134,0.3640923202037811
Lake Hindmarsh,VIC,160,156.0,340,2.179487,-36.05,141.9,-3.39e-10,3.50063,0.633218,8.01406,1e+31,1e+31,1.467161,0.148076,405.4209,0.463381,0.11466095596551895,0.0046724188141524,0.0408836640417575,0.1226509883999824
Lake Lalbert,VIC,161,5.0,135,27.0,-35.6667,143.3333,-3.29e-12,3.3072,0.343548,2.64e-06,1e+31,1e+31,2.218701,0.212032,619.7933,0.648625,0.07232936471700668,0.0025698400568217,0.0085122240707278,0.060994766652584
Lake Ranfurly,VIC,162,2.65,108,40.75472,-34.1833,142.1,7.14e-06,11.59865,0.468789,292.042,277.019,0.051582,1.669881,0.211077,805.4991,0.465418,0.1333695948123932,0.1029319316148758,0.1180722415447235,0.1338512748479843
Lake Tyrrell,VIC,163,208.6,101,0.48418,-35.35,142.8167,4.35e-05,9.75604,0.247478,0.170704,1e+31,1e+31,2.163001,0.210243,527.64,0.649068,0.5082734227180481,0.4614216089248657,0.4860911071300506,0.5137659311294556
Lake Wallawalla,VIC,164,8.28,178,21.49758,-34.1833,141.1833,8.1e-07,9.81878,0.229784,0.073398,1e+31,1e+31,1.865869,0.217323,673.5556,0.627218,0.4444877803325653,0.3927147686481476,0.4309336245059967,0.4590207040309906
Lindsay Island,VIC,165,150.0,375,2.5,-34.1167,141.15,5.54e-07,3.90908,0.217324,0.158775,1e+31,1e+31,1.402444,0.234087,716.5771,0.500453,0.3570210039615631,0.2710374891757965,0.3575124144554138,0.392055869102478
Mitre Lak,VIC,166,7.84,111,14.15816,-36.7,141.8167,-2.9e-08,13.4454,0.447968,0.766015,225.289,2.08663,1e+31,1e+31,1e+31,1e+31,0.15477707982063293,0.006643156055361,0.0614145919680595,0.1646949052810669
"Natimuk Lake, Natimuk Creek & Lake Wyn Wyn",VIC,167,11.7,168,14.35897,-36.7,141.9333,1.88e-10,8.41297,0.450921,4.363412,216.606,1.462781,1e+31,1e+31,1e+31,1e+31,0.17175078392028809,0.0072683077305555,0.0710174217820167,0.1842566430568695
Pink Lake (Lochiel),VIC,168,1.06,2,1.886792,-36.4,141.95,2.73e-12,5.82899,0.398989,8.79867,126.41,0.529748,1.971455,0.159,541.6595,0.604223,0.12092486023902893,0.0049272361211478,0.0429696068167686,0.130377858877182
Pink Lakes,VIC,169,3.93,67,17.04835,-35.0333,141.7,3.91e-06,9.87893,0.250247,0.156203,1e+31,1e+31,1.802928,0.186517,513.3202,0.576503,0.3708275258541107,0.3256249725818634,0.35198974609375,0.3785257339477539
Raak Plain,VIC,170,5.5,12,2.181818,-34.65,142.0833,6.3e-07,2.43247,0.224647,0.183081,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.49494197964668274,0.4362411201000213,0.4923340082168579,0.5261700749397278
Saint Marys Lake,VIC,171,1.13,29,25.66372,-36.7667,141.75,7.82e-05,38.1912,0.355984,0.621862,1e+31,1e+31,1.59523,0.124761,380.1874,0.516323,0.5864253640174866,0.5020673274993896,0.540600061416626,0.6064786314964294
Wallpolla Island,VIC,172,92.0,413,4.48913,-34.1333,141.7167,1.86e-09,3.1339,0.582572,798.288,337.757,0.014448,1.768939,0.21936,751.2686,0.584721,0.19739867746829987,0.0884434431791305,0.1513633877038955,0.2217980921268463
White Lake,VIC,173,6.2,106,17.09677,-37.0667,141.7333,0.000242,19.8009,0.456311,0.526505,225.942,1.5634,1e+31,1e+31,1e+31,1e+31,0.5701884627342224,0.4655746519565582,0.5149587988853455,0.6035804748535156
LindsayÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂWerrikoo Wetlands,VIC,174,17.85,47,2.633053,-37.8,141.2,0.000331,16.16535,0.651765,2.498095,217.638,2.33929,1.01667,0.087857,220.2535,0.364405,0.27362680435180664,0.1772907227277755,0.2063768059015274,0.2861223816871643
MundiÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂSelkirk Wetlands,VIC,175,20.23,210,10.38062,-37.6667,141.3333,0.000119,15.2937,0.636878,1.97302,217.486,4.49595,1e+31,1e+31,1e+31,1e+31,0.206454336643219,0.0316464565694332,0.1086453571915626,0.2283871322870254
Ryans Lagoon,VIC,176,0.6,72,120.0,-36.1,146.9667,5.79e-06,18.1949,0.787316,48.7506,39.0142,0.507024,1.69761,0.106249,284.2033,0.554299,0.16750606894493103,0.0080572227016091,0.0399874374270439,0.1514375805854797
BarmahÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂMillewa Forest,VIC,177,295.0,618,2.094915,-35.8167,145.5,4.11e-05,5.785895,0.449258,83.72265,86.4113,0.46539,2.042915,0.1987,565.5366,0.66075,0.5143604874610901,0.4456294476985931,0.4774206578731537,0.5181142091751099
Black Swam,VIC,178,1.76,59,33.52273,-36.1667,146.3167,1.61e-06,4.34727,0.614912,32.1776,15.8193,0.757743,1e+31,1e+31,1e+31,1e+31,0.12389736622571945,0.0056291725486516,0.0193442199379205,0.101989708840847
Broken Creek,VIC,179,25.0,287,11.48,-36.4833,145.9333,2.97e-05,10.19123,0.435114,42.63458,136.189,0.084602,1.717523,0.146497,404.0104,0.59039,0.08999617397785187,0.0037057700101286,0.012597044929862,0.0607334561645984
Cemetery Swamp,VIC,180,0.89,135,151.6854,-35.7,143.9167,5.72e-05,4.19439,0.387195,13.1847,56.5853,0.476083,1e+31,1e+31,1e+31,1e+31,0.3866647779941559,0.3095902502536773,0.356944590806961,0.3952430486679077
First Marsh (The Marsh),VIC,181,7.8,24,3.076923,-35.65,143.7333,1.48e-06,4.89548,0.336264,0.000911,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.06874192506074905,0.0028272329363971,0.0094320699572563,0.0554148368537426
Fosters Swamp,VIC,182,2.19,26,11.87215,-35.7333,143.95,5.72e-05,4.19439,0.387195,13.1847,56.5853,0.476083,1e+31,1e+31,1e+31,1e+31,0.3866647779941559,0.3095902502536773,0.356944590806961,0.3952430486679077
Gunbower Island,VIC,183,195.0,298,1.528205,-36.0,144.5167,3.87e-05,2.45975,0.353467,0.652832,152.392,3.40457,1e+31,1e+31,1e+31,1e+31,0.5341617465019226,0.4584709107875824,0.5092363953590393,0.562347412109375
Kanyapella Basin,VIC,184,25.81,194,7.516466,-36.15,144.9,1.07e-05,3.70478,0.413729,183.736,34.4168,0.233129,2.328898,0.206907,498.1764,0.912669,0.4272449016571045,0.375331699848175,0.3983325958251953,0.4285765588283539
Kow Swamp,VIC,185,27.24,21,0.770925,-35.95,144.2833,2.29e-05,3.18227,0.319092,0.976974,163.487,1.78997,1.920965,0.161656,496.0638,0.595647,0.3845461905002594,0.3366944789886474,0.3608112037181854,0.3876954317092895
Lake Bael Bael,VIC,186,6.48,40,6.17284,-35.6833,143.7167,2.38e-19,5.45678,0.363349,6.9556,94.8339,0.611077,2.051624,0.182295,587.2405,0.598718,0.06820669770240784,0.0025223966222256,0.0071316407993435,0.0546589344739913
Lake Charm,VIC,187,5.2,26,5.0,-35.6,143.8167,1e+31,6.22056,0.37658,6.87567,140.409,0.563485,1e+31,1e+31,1e+31,1e+31,0.07255192846059799,0.004780740942806,0.0151262301951646,0.061715018004179
Lake Cullen,VIC,188,6.32,21,3.322785,-35.6333,143.7667,1.38e-05,6.22056,0.37658,6.87567,140.409,0.563485,1e+31,1e+31,1e+31,1e+31,0.07255192846059799,0.004780740942806,0.0151262301951646,0.061715018004179
Lake Kelly & Stevensons Swamp,VIC,189,3.2,1,0.3125,-35.5333,143.8167,1.65e-05,6.66139,0.359423,0.013026,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.07163076102733612,0.0047677820548415,0.0153398197144269,0.0602368526160717
"Little Lake Charm, Kangaroo Lake & Racecourse Lake",VIC,190,13.32,11,0.825826,-35.5833,143.7667,1.38e-05,4.438545,0.37658,6.87567,140.409,0.563485,1e+31,1e+31,1e+31,1e+31,0.07163076102733612,0.0047677820548415,0.0153398197144269,0.0602368526160717
Lower Broken River,VIC,191,12.68,13,1.025237,-36.4833,145.9333,2.39e-13,14.1619,0.499553,0.721857,1e+31,1e+31,1.717523,0.146497,404.0104,0.59039,0.08999617397785187,0.0037057700101286,0.012597044929862,0.0607334561645984
Lower Goulburn River Floodplain,VIC,192,130.0,279,2.146154,-36.7167,145.1667,8.73e-05,5.064005,0.488529,13.48514,6.55117,0.013671,1.441791,0.090778,309.2539,0.475591,0.6336008906364441,0.5475077033042908,0.5855423212051392,0.6486702561378479
Muckatah Depression,VIC,193,29.09,13,0.446889,-36.0667,146.1167,0.000103,5.0035,0.64698,86.0681,1e+31,1e+31,2.165257,0.224028,519.2835,0.769655,0.6863775849342346,0.6001768708229065,0.638092041015625,0.6969709396362305
Second Marsh (Middle Marsh),VIC,194,2.33,39,16.7382,-35.7,143.6167,2.4e-19,4.71132,0.335408,0.0,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.06973722577095032,0.0025734296068549,0.0073445006273686,0.0567262545228004
Tang Tang Swamp,VIC,195,1.03,33,32.03883,-36.35,144.2833,3.41e-06,1.90693,0.401039,0.31507,1e+31,1e+31,2.482484,0.265268,532.1878,1.065453,0.11051224172115326,0.0054304138757288,0.0286478288471698,0.1083150282502174
Third Marsh (Top Marsh),VIC,196,9.46,142,15.01057,-35.6,143.7167,1.48e-06,4.89548,0.336264,0.000911,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.06874192506074905,0.0028272329363971,0.0094320699572563,0.0554148368537426
"Third, Middle and Reedy Lakes",VIC,197,5.98,33,5.518395,-35.6375,143.8649,4.39e-05,4.07895,0.358196,0.153951,254.244,4.27069,1e+31,1e+31,1e+31,1e+31,0.09153764694929123,0.0109381470829248,0.0326786562800407,0.090833768248558
Town Swamp,VIC,198,0.8,38,47.5,-35.7167,143.9,4.05e-05,5.47269,0.31583,0.131712,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.4574432373046875,0.3878323137760162,0.4307915568351745,0.4674287438392639
Tragowel Swamp (McPhails Swamp),VIC,199,2.62,118,45.03817,-35.8,143.9333,0.000111,3.80317,0.38934,0.330018,111.323,2.16165,1e+31,1e+31,1e+31,1e+31,0.3489394783973694,0.238725945353508,0.3161834180355072,0.3783654272556305
Wallenjoe Wetlands,VIC,200,3.03,207,68.31683,-36.5,144.8833,0.000128,3.09454,0.406833,0.478438,1e+31,1e+31,1.742139,0.145085,400.317,0.682808,0.5582149028778076,0.4828019142150879,0.5265626311302185,0.5731719732284546
Woolshed Swamp,VIC,201,3.53,106,30.02833,-36.1667,143.7167,9.46e-05,5.39115,0.440198,0.075474,1e+31,1e+31,2.044157,0.16221,452.1334,0.623822,0.13779565691947937,0.0160448048263788,0.0606862306594848,0.1450780183076858
Bald Hills State Wildlife Reserve,VIC,202,0.01,3,300.0,-38.7333,145.9333,1.87e-08,8.15322,0.88047,1.65426,1e+31,1e+31,1.417942,0.196979,301.9804,1.131216,0.16678407788276672,0.0106925992295145,0.0750925168395042,0.1911126375198364
Billabong Reserve,VIC,203,0.23,33,143.4783,-37.9,147.3167,1.29e-05,28.214,0.723451,0.01332,1e+31,1e+31,0.976318,0.097128,301.6325,0.483825,0.12469499558210373,0.0237057544291019,0.0580204762518405,0.108662836253643
Deep Water Morass,VIC,204,0.3,2,6.666667,-37.8333,147.4,0.000422,34.1276,0.485069,0.519876,1e+31,1e+31,1.18841,0.074671,186.9523,0.497168,0.5409845113754272,0.4787434339523315,0.5147398114204407,0.5549662709236145
EdithvaleÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂSeaford Wetlands,VIC,205,2.15,61,28.37209,-38.0333,145.1167,0.000216,8.551115,0.467183,8.85507,287.742,4.79368,1.881046,0.208077,337.348,1.017463,0.43090173602104187,0.3335132896900177,0.3980894982814789,0.4610251486301422
Lake Connewarre State Wildlife Reserve,VIC,206,31.0,319,10.29032,-38.2167,144.45,0.000137,16.5252,0.329757,23.5768,218.432,2.75227,2.031642,0.244868,336.051,1.214394,0.5541489720344543,0.4909363985061645,0.5325834155082703,0.5747128129005432
Lake Wellington Wetlands,VIC,207,180.0,310,1.722222,-38.0833,147.3167,1.38e-16,7.17951,1.04931,38.6743,22.8806,0.048646,1.076539,0.087646,235.2637,0.496063,0.4217197299003601,0.3380875885486603,0.3900757431983948,0.4393948912620544
Lower Snowy River Wetlands System,VIC,208,20.0,409,20.45,-37.7357,148.5635,0.000218,23.3948,0.806309,0.478717,1e+31,1e+31,0.720995,0.069765,144.4384,0.284761,0.21212784945964813,0.0420844331383705,0.1005782559514045,0.2018796354532241
Central Highlands Peatlands,VIC,209,0.33,57,172.7273,-37.5856,146.0214,0.000458,144.037,1.08076,0.358482,1e+31,1e+31,0.431002,0.031069,92.94567,0.155678,0.3694024980068207,0.2049236446619033,0.3258576989173889,0.4414443075656891
Lake Tali Karng,VIC,210,0.16,3,18.75,-37.55,146.8,6.06e-12,320.195,0.763008,0.002347,1e+31,1e+31,0.93565,0.099505,334.221,0.338958,0.12774477899074554,0.0109820896759629,0.0478525124490261,0.1231029331684112
Nuniong Plateau Peatlands,VIC,211,0.1,35,350.0,-37.15,147.9333,-1.97e-11,186.691,0.69133,0.000376,1e+31,1e+31,0.810821,0.073801,216.0078,0.297848,0.0945654809474945,0.0067385928705334,0.0259429514408111,0.0816379338502883
Tea Tree Swamp (Delegate River),VIC,212,0.52,107,205.7692,-37.25,148.8333,6.09e-10,155.765,0.887708,0.014236,1e+31,1e+31,0.670875,0.071698,218.6824,0.281966,0.20005019009113312,0.0258505381643772,0.0946783944964408,0.1983462870121002
Creswick Swamp,VIC,213,0.16,2,12.5,-36.6167,142.9,2.44e-06,3.27878,0.465175,3.1912,1e+31,1e+31,1.792375,0.151326,373.7298,0.559823,0.2872905135154724,0.0567053854465484,0.1888424754142761,0.3243101239204407
Lake Muirhead,VIC,214,3.3,56,16.9697,-37.4833,142.6,0.000401,26.0664,0.446065,0.370148,1e+31,1e+31,1.149557,0.085668,265.9969,0.299729,0.5487638711929321,0.4636397659778595,0.5103028416633606,0.5757649540901184
Mount William Swamp,VIC,215,6.35,7,1.102362,-37.45,142.6667,3.24e-07,14.2078,0.611505,0.387517,1e+31,1e+31,1.647105,0.145956,340.1341,0.633018,0.1705808788537979,0.0083077754825353,0.058114867657423,0.1782017946243286
CobdenÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂTerang Volcanic Craters,VIC,216,6.13,19,3.099511,-38.35,143.0,9.03e-07,76.0527,0.759893,0.069476,1e+31,1e+31,1.386071,0.130814,238.5742,0.545759,0.13706836104393005,0.008216849528253,0.0433608256280422,0.1429713070392608
Cundare Pool/Lake Martin,VIC,217,37.3,107,2.868633,-38.0833,143.6,0.000907,5.74504,0.343214,1.42589,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.21420451998710632,0.0646780803799629,0.1286120563745498,0.2306372374296188
Kooraweera Lakes,VIC,218,4.27,22,5.152225,-38.0667,143.2833,6.02e-06,7.55826,0.765396,0.013407,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.22718888521194458,0.0211900006979703,0.1331166625022888,0.2578116655349731
Lake Beeac,VIC,219,6.62,3,0.453172,-38.2,143.6167,0.000956,6.45126,0.326808,0.73771,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.64049232006073,0.5974801182746887,0.6349132657051086,0.6593971252441406
Lake Bookaar,VIC,220,5.0,83,16.6,-38.1333,143.1167,2.11e-06,8.07075,0.769371,0.001535,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.17268723249435425,0.014908374287188,0.08551836758852,0.1862025558948516
Lake Colongulac,VIC,221,14.0,20,1.428571,-38.1667,143.1667,2.64e-06,15.4689,0.769344,0.001976,1e+31,1e+31,1.319649,0.111051,348.234,0.47374,0.1726975440979004,0.0133168222382664,0.0812001377344131,0.1846723109483719
Lake Corangamite,VIC,222,233.0,162,0.695279,-38.1833,143.4167,3.07e-05,6.65308,0.796084,1.60629,1e+31,1e+31,1e+31,1e+31,1e+31,1e+31,0.18133415281772614,0.0205194167792797,0.1051976159214973,0.201308399438858
