wetland_name,wetland_ID,dataset,area_km2,species_richness,species_normalized,lat,lon,sat_area_frac
Bega Swamp,98,AUS,0.23,40,173.913,-36.525,149.5083,0.207944
Big Badja Swamp,99,AUS,1.06,1,0.943396,-36.05,149.5333,0.63741
Lake Bathurst,100,AUS,13.5,54,4,-35.0167,149.6667,0.131982
Lake George,101,AUS,150,184,1.226667,-35.2167,149.3667,0.257096
Micalong Swamp,102,AUS,5.26,48,9.125475,-35.3333,148.5167,0.190391
Monaro Lakes,103,AUS,2.15,146,67.90698,-36,148,0.629724
Yaouk Swamp,104,AUS,0.56,124,221.4286,-35.8167,148.8333,0.22831
Botany Wetlands,105,AUS,0.64,26,40.625,-33.9333,151.2167,0.661097
Longneck Lagoon,106,AUS,0.24,111,462.5,-33.5667,150.8833,0.630142
O’Hares Creek Catchment,107,AUS,90,2,0.022222,-34.1167,150.8167,0.247327
Pitt Town Lagoon,108,AUS,0.41,31,75.60976,-33.6,150.85,0.367727
Thirlmere Lakes,109,AUS,0.5,121,242,-34.2333,150.5333,0.179796
Wingecarribee Swamp,110,AUS,6.91,22,3.183792,-34.0667,150.5,0.102518
Mullawoolka Basin,111,AUS,20.26,18,0.88845,-30.5167,143.8333,0.00938
Poloko Lake (Olepoloko Lake),112,AUS,37.22,49,1.316497,-30.7333,143.6667,0.008669
Tongo Lak,113,AUS,5.24,1,0.19084,-30.45,143.75,0.028952
Yantabangee Lake,114,AUS,14.27,2,0.140154,-30.5667,143.75,0.015368
Cowans Pond Reserve,115,AUS,0.05,4,80,-29.6889,152.8889,0.643855
Doodle Cooma Swamp,116,AUS,17,112,6.588235,-35.5333,147,0.106454
Walla Walla Swamp (Gum Swamp),117,AUS,2,58,29,-35.7333,146.9167,0.109047
Fivebough Swamp,118,AUS,4,2,0.5,-34.5333,140.4333,0.040135
Coree Flats,119,AUS,0.4,10,25,-35.2833,148.8,0.190252
Packers Swamp,120,AUS,0.4,6,15,-36.75,149.4333,0.100406
Calbocaro Billabong,121,AUS,0.66,107,162.1212,-29.8667,144.15,0.330812
Deadmans Swamp,122,AUS,4.71,214,45.43524,-30.4667,144.15,0.100198
Dick Lake,123,AUS,7.08,2,0.282486,-30.4667,144.15,0.100198
Waitchie Lake,124,AUS,2.05,1,0.487805,-30.1667,144,0.43816
Yammaramie Swamp,125,AUS,30.82,1,0.032446,-30.4667,144.2,0.010992
Toms Lake,126,AUS,2.39,1,0.41841,-29.5833,145.7667,0.028501
Culgoa River Floodplain,127,AUS,229.86,277,1.205081,-29.1167,147.0833,0.505769
Tabourie Lake,128,AUS,2.85,49,17.19298,-35.4244,150.415,0.147212
Termeil Lake Wetland,129,AUS,0.71,6,8.450704,-35.46,150.3906,0.147212
Meroo Lake Wetland,130,AUS,1.76,21,11.93182,-35.4806,150.3822,0.147212
Beecroft Peninsula,131,AUS,40.44,850,21.01879,-35,150.7667,0.508788
liverpool Military Training Area,132,AUS,150,13,0.086667,-33.9833,150.9833,0.640696
Salt Ash Air Weapons Range,133,AUS,27.9,211,7.562724,-32.7833,152,0.461198
Eagle Tarn Sphagnum,134,AUS,0.01,3,300,-42.6811,146.5899,0.476085
Lake Lea,135,AUS,1,25,25,-41.5176,145.9154,0.497067
Maggs Mountain Sphagnum,136,AUS,0.01,5,500,-41.7522,146.1821,0.52268
Mt Rufus Sphagnum,137,AUS,0.01,11,1100,-42.1271,146.0974,0.499874
Shadow Lake Sphagnum,138,AUS,0.01,1,100,-42.0975,146.1172,0.499874
Douglas River,139,AUS,1,3,3,-41.7832,148.2696,
Bells Lagoon,140,AUS,0.8,2,2.5,-42.0824,147.3506,0.430442
Cataract Gorge,141,AUS,0.01,8,800,-41.4425,147.1245,0.549728
Lake Dulverton,142,AUS,2,19,9.5,-42.3165,147.3823,0.664827
Near Lagoon,143,AUS,0.15,1,6.666667,-42.0704,147.4352,0.171522
Township Lagoon,144,AUS,0.1,16,160,-42.1497,147.4285,0.192749
White Lagoon,145,AUS,0.1,27,270,-42.1,147.4333,0.192749
Lake Flannigan,146,AUS,1.5,8,5.333333,-39.6197,143.9536,0.655021
Lavinia Nature Reserve,147,AUS,69.04,23,0.33314,-39.7032,144.0491,0.176638
Lake Chisholm,148,AUS,0.05,2,40,-41.1344,145.0639,0.576069
Lake Surprise,149,AUS,0.25,7,28,-42.9939,146.1572,0.524696
Lake Sydney,150,AUS,0.1,4,40,-43.2899,146.608,0.466298
Mount Buffalo Peatlands,151,AUS,0.07,89,1271.429,-36.7833,146.7667,0.59227
Belsar Island,152,AUS,25,233,9.32,-34.6667,142.9333,0.189854
Beveridge Island,153,AUS,10.18,4,0.392927,-35.25,143.55,0.275478
"Bunguluke Wetlands, Tyrrell Creek& Lalbert Creek Floodplains",154,AUS,5.3,299,56.41509,-36.0667,143.3667,0.112797
Hattah Lakes,155,AUS,10.18,334,32.80943,-34.7,142.35,0.209679
Heards Lake,156,AUS,1.35,5,3.703704,-36.8167,141.8167,0.586425
Heywoods Lake,157,AUS,2.28,6,2.631579,-34.7833,143.2,0.052997
Kings Billabong Wetlands,158,AUS,5.02,148,29.48207,-34.2378,142.2257,0.04931
Lake Albacutya,159,AUS,57,235,4.122807,-35.75,141.9667,0.05721
Lake Hindmarsh,160,AUS,156,340,2.179487,-36.05,141.9,0.114661
Lake Lalbert,161,AUS,5,135,27,-35.6667,143.3333,0.072329
Lake Ranfurly,162,AUS,2.65,108,40.75472,-34.1833,142.1,0.13337
Lake Tyrrell,163,AUS,208.6,101,0.48418,-35.35,142.8167,0.508273
Lake Wallawalla,164,AUS,8.28,178,21.49758,-34.1833,141.1833,0.444488
Lindsay Island,165,AUS,150,375,2.5,-34.1167,141.15,0.357021
Mitre Lak,166,AUS,7.84,111,14.15816,-36.7,141.8167,0.154777
"Natimuk Lake, Natimuk Creek & Lake Wyn Wyn",167,AUS,11.7,168,14.35897,-36.7,141.9333,0.171751
Pink Lake (Lochiel),168,AUS,1.06,2,1.886792,-36.4,141.95,0.120925
Pink Lakes,169,AUS,3.93,67,17.04835,-35.0333,141.7,0.370828
Raak Plain,170,AUS,5.5,12,2.181818,-34.65,142.0833,0.494942
Saint Marys Lake,171,AUS,1.13,29,25.66372,-36.7667,141.75,0.349613
Wallpolla Island,172,AUS,92,413,4.48913,-34.1333,141.7167,0.197399
White Lake,173,AUS,6.2,106,17.09677,-37.0667,141.7333,0.570188
Lindsay—Werrikoo Wetlands,174,AUS,17.85,47,2.633053,-37.8,141.2,0.273627
Mundi—Selkirk Wetlands,175,AUS,20.23,210,10.38062,-37.6667,141.3333,0.206454
Ryans Lagoon,176,AUS,0.6,72,120,-36.1,146.9667,0.167506
Barmah—Millewa Forest,177,AUS,295,618,2.094915,-35.8167,145.5,0.500715
Black Swam,178,AUS,1.76,59,33.52273,-36.1667,146.3167,0.123897
Broken Creek,179,AUS,25,287,11.48,-36.4833,145.9333,0.089996
Cemetery Swamp,180,AUS,0.89,135,151.6854,-35.7,143.9167,0.386665
First Marsh (The Marsh),181,AUS,7.8,24,3.076923,-35.65,143.7333,0.068742
Fosters Swamp,182,AUS,2.19,26,11.87215,-35.7333,143.95,0.386665
Gunbower Island,183,AUS,195,298,1.528205,-36,144.5167,0.572395
Kanyapella Basin,184,AUS,25.81,194,7.516466,-36.15,144.9,0.427245
Kow Swamp,185,AUS,27.24,21,0.770925,-35.95,144.2833,0.384546
Lake Bael Bael,186,AUS,6.48,40,6.17284,-35.6833,143.7167,0.068207
Lake Charm,187,AUS,5.2,26,5,-35.6,143.8167,0.072552
Lake Cullen,188,AUS,6.32,21,3.322785,-35.6333,143.7667,0.072552
Lake Kelly & Stevensons Swamp,189,AUS,3.2,1,0.3125,-35.5333,143.8167,0.071631
"Little Lake Charm, Kangaroo Lake & Racecourse Lake",190,AUS,13.32,11,0.825826,-35.5833,143.7667,0.071631
Lower Broken River,191,AUS,12.68,13,1.025237,-36.4833,145.9333,0.089996
Lower Goulburn River Floodplain,192,AUS,130,279,2.146154,-36.7167,145.1667,0.633601
Muckatah Depression,193,AUS,29.09,13,0.446889,-36.0667,146.1167,0.686378
Second Marsh (Middle Marsh),194,AUS,2.33,39,16.7382,-35.7,143.6167,0.069737
Tang Tang Swamp,195,AUS,1.03,33,32.03883,-36.35,144.2833,0.110512
Third Marsh (Top Marsh),196,AUS,9.46,142,15.01057,-35.6,143.7167,0.068742
"Third, Middle and Reedy Lakes",197,AUS,5.98,33,5.518395,-35.6375,143.8649,0.091538
Town Swamp,198,AUS,0.8,38,47.5,-35.7167,143.9,0.457443
Tragowel Swamp (McPhails Swamp),199,AUS,2.62,118,45.03817,-35.8,143.9333,0.348939
Wallenjoe Wetlands,200,AUS,3.03,207,68.31683,-36.5,144.8833,0.656955
Woolshed Swamp,201,AUS,3.53,106,30.02833,-36.1667,143.7167,0.137796
Bald Hills State Wildlife Reserve,202,AUS,0.01,3,300,-38.7333,145.9333,0.166784
Billabong Reserve,203,AUS,0.23,33,143.4783,-37.9,147.3167,0.124695
Deep Water Morass,204,AUS,0.3,2,6.666667,-37.8333,147.4,0.540985
Edithvale—Seaford Wetlands,205,AUS,2.15,61,28.37209,-38.0333,145.1167,0.430902
Lake Connewarre State Wildlife Reserve,206,AUS,31,319,10.29032,-38.2167,144.45,0.554149
Lake Wellington Wetlands,207,AUS,180,310,1.722222,-38.0833,147.3167,0.42172
Lower Snowy River Wetlands System,208,AUS,20,409,20.45,-37.7357,148.5635,0.212128
Central Highlands Peatlands,209,AUS,0.33,57,172.7273,-37.5856,146.0214,0.369402
Lake Tali Karng,210,AUS,0.16,3,18.75,-37.55,146.8,0.127745
Nuniong Plateau Peatlands,211,AUS,0.1,35,350,-37.15,147.9333,0.094565
Tea Tree Swamp (Delegate River),212,AUS,0.52,107,205.7692,-37.25,148.8333,0.168141
Creswick Swamp,213,AUS,0.16,2,12.5,-36.6167,142.9,0.287291
Lake Muirhead,214,AUS,3.3,56,16.9697,-37.4833,142.6,0.548764
Mount William Swamp,215,AUS,6.35,7,1.102362,-37.45,142.6667,0.170581
Cobden—Terang Volcanic Craters,216,AUS,6.13,19,3.099511,-38.35,143,0.133057
Cundare Pool/Lake Martin,217,AUS,37.3,107,2.868633,-38.0833,143.6,0.214205
Kooraweera Lakes,218,AUS,4.27,22,5.152225,-38.0667,143.2833,0.227189
Lake Beeac,219,AUS,6.62,3,0.453172,-38.2,143.6167,0.640492
Lake Bookaar,220,AUS,5,83,16.6,-38.1333,143.1167,0.172687
Lake Colongulac,221,AUS,14,20,1.428571,-38.1667,143.1667,0.172698
Lake Corangamite,222,AUS,233,162,0.695279,-38.1833,143.4167,0.181334
Lake Cundare,223,AUS,3.95,51,12.91139,-38.15,143.6167,0.640698
Lake Gnarpurt,224,AUS,23.5,7,0.297872,-38.05,143.3833,0.229002
Lake Linlithgow Wetlands,225,AUS,14.32,124,8.659218,-37.7667,142.1833,0.69477
Lake Milangil,226,AUS,1.25,47,37.6,-38.1,143.2167,0.20279
Lake Murdeduke,227,AUS,15.5,14,0.903226,-38.1667,143.9,0.673425
Lake Terangpom,228,AUS,2.08,86,41.34615,-38.1333,143.3167,0.216839
Lower Lough Calvert & Lake Thurrumbong,229,AUS,8.78,25,2.84738,-38.1983,143.6491,0.640492
Middle Lough Calvert,230,AUS,5.78,16,2.768166,-38.1667,143.6833,0.650994
Point Cook & Laverton Saltworks,231,AUS,9,128,14.22222,-37.9,144.7833,0.632409
Red Rock Lakes & The Basins,232,AUS,2.23,2,0.896861,-38.3333,143.45,0.162212
Tower Hill,233,AUS,3.11,184,59.16399,-38.3167,142.3667,0.632047
Upper Lough Calvert,234,AUS,8.24,22,2.669903,-38.1167,143.6833,0.667841
Bitter Swamp,235,AUS,0.32,3,9.375,-37.0833,141.75,0.570188
Cardross Lake,236,AUS,2.96,100,33.78378,-34.3167,142.1,0.048376
Lake Buloke Wetlands,237,AUS,82.7,209,2.527207,-36.2667,142.9667,0.514904
Boiler Swamp System,238,AUS,1.93,3,1.554404,-37.3333,140.9833,0.118682
Dergholm (Youpayang) Wetlands,239,AUS,2.28,82,35.96491,-37.35,141.3,0.135685
Avoca Floodway (Tutchewop Plains),240,AUS,4.84,30,6.198347,-35.5167,143.7167,0.094333
Lake Buninjon,241,AUS,2.87,18,6.271777,-37.4833,142.7833,0.164716
Lake Wendouree,242,AUS,2.24,65,29.01786,-37.55,143.7167,0.193809
Merin Merin Swamp,243,AUS,2.15,33,15.34884,-37.2167,143.7833,0.204509
Woorndoo—Hopkins Wetlands,244,AUS,5.84,1,0.171233,-37.8167,142.6833,0.092631
Lake Condah,245,AUS,0.82,160,195.122,-38.0667,141.8333,0.146081
Nerrin Nerrin Wetland,246,AUS,5.26,79,15.01901,-37.7333,143.0167,0.133032
Widderin Swamps,247,AUS,3.59,2,0.557103,-38.7333,143.3667,0.359728
Mitta Mitta River,248,AUS,24,172,7.166667,-36.8333,147.4167,0.383641
Ovens River,249,AUS,37.5,281,7.493333,-36.25,146.2667,0.429643
Howqua River,250,AUS,15.2,210,13.81579,-37.1667,146.65,0.404406
Big River,251,AUS,14.65,185,12.62799,-37.5667,146.0167,0.387436
Wimmera River,252,AUS,560.2,808,1.442342,-36.65,141.9833,0.161849
Genoa River,253,AUS,10.8,303,28.05556,-37.2667,149.35,0.14781
"Bemm, Goolengook, Arte and Errinundra Rivers",254,AUS,59.2,424,7.162162,-37.3167,148.9167,0.175466
Snowy River,255,AUS,466.9,1453,3.112015,-36.8833,148.4167,0.633065
Suggan Buggan and Berrima,256,AUS,18.4,174,9.456522,-36.8167,148.2333,0.190643
Upper Buchan River,257,AUS,17.8,266,14.94382,-36.8833,148.15,0.545222
Wonnangatta River,258,AUS,41,329,8.02439,-37.1333,146.6333,0.338293
Benedore River,259,AUS,33.6,477,14.19643,-37.6167,149.5833,0.194284
Thurra River,260,AUS,29.2,461,15.78767,-37.3667,149.35,0.612738
Yarra River,261,AUS,10.65,929,87.23005,-37.75,145.7167,0.321425
Lerderderg River,262,AUS,54.9,601,10.94718,-37.45,144.2333,0.167906
Aire River,263,AUS,8.2,140,17.07317,-38.6667,143.55,0.404414
Glenelg River,264,AUS,30.2,378,12.51656,-37.9333,141.2833,0.137186
Coyrecup Lake,265,AUS,5,4,0.8,-33.7167,117.8333,0.570776
Dumbleyung Lake,266,AUS,55.61,52,0.935084,-33.3333,117.6667,0.122681
Toolibin Lake,267,AUS,4.37,51,11.67048,-32.9167,117.6,0.082817
Yealering Lakes System,268,AUS,7.75,4,0.516129,-32.5333,117.6,0.084995
Yorkrakine Rock Pools,269,AUS,0.01,82,8200,-31.4333,117.5167,0.110081
Cape Range Subterranean Waterways,270,AUS,1750,44,0.025143,-21.8333,113.6667,
Lake MacLeod,271,AUS,1500,88,0.058667,-23.6,113.5,
McNeill Claypan System,272,AUS,25,37,1.48,-24.9,113.75,0.311131
Windjana Gorge,273,AUS,0.2,26,130,-17.4167,124.95,0.121082
Rowles Lagoon System,274,AUS,5.5,17,3.090909,-30.4,120.8167,0.22338
Bunda-Bunda Mound Springs,275,AUS,0.22,17,77.27273,-17.15,122.3167,0.279271
Eighty Mile Beach System,276,AUS,400,24,0.06,-19.05,119.7667,
Geikie Gorge,277,AUS,1.3,14,10.76923,-18.0833,125.7167,0.136362
Roebuck Plains System,278,AUS,480,44,0.091667,-17.8333,122.35,0.085343
Willie Creek Wetlands,279,AUS,0.2,60,300,-17.7667,122.2667,0.098825
Balicup Lake System,280,AUS,14,37,2.642857,-34.2167,117.7667,0.423698
Culham Inlet System,281,AUS,113.49,71,0.625606,-33.9,120.0667,0.147635
Fitzgerald Inlet System,282,AUS,12,76,6.333333,-33.8167,119.3,0.394193
Lake Gore System,283,AUS,15,8,0.533333,-33.75,121.4667,0.2823
Lake Warden System,284,AUS,12,26,2.166667,-33.7833,121.85,0.331976
Mortijinup Lake System,285,AUS,7.5,28,3.733333,-33.7833,121.5833,0.273833
Pink Lake,286,AUS,10.61,37,3.487276,-33.85,121.8333,0.139802
Yellilup Yate Swamp System,287,AUS,15,27,1.8,-34.3,118.85,0.540871
Kookhabinna Gorge,288,AUS,1.25,1,0.8,-23.25,116.0167,0.443638
Lake Carnegie System,289,AUS,1531,42,0.027433,-25.95,122.0833,0.023978
Hutt Lagoon System,290,AUS,30,67,2.233333,-28.0333,114.1667,0.425059
Lake Logue—Indoon System,291,AUS,5.29,42,7.939509,-29.8667,115.1333,0.265448
Murchison River (Lower Reaches),292,AUS,6.25,137,21.92,-27.7167,114.1667,0.347546
Lake Gruszka,293,AUS,5,2,0.4,-25.3333,125.5667,0.485929
Dragon Tree Soak,294,AUS,0.05,2,40,-19.6667,123.35,0.037927
Lake Dora (Rudall River) System,295,AUS,326,8,0.02454,-21.95,122.8,0.018176
Mandora Salt Marsh,296,AUS,800,3,0.00375,-19.6667,121.1167,0.026932
Yeo Lake/Lake Throssell,297,AUS,710,66,0.092958,-27.35,123.8833,0.4868
Byenup Lagoon System,298,AUS,50,516,10.32,-34.3167,116.6667,0.505617
Chittering—Needonga Lakes,299,AUS,2.48,5,2.016129,-31.4333,116.1,0.484649
Lake Muir,300,AUS,46,179,3.891304,-34.4833,116.6667,0.430075
Lake Pleasant View System,301,AUS,5.5,98,17.81818,-34.7833,118.15,0.088221
Moates Lake System,302,AUS,7.5,105,14,-34.9333,118.0833,0.417788
Lake Disappointment (Savory Creek) System,303,AUS,1542,35,0.022698,-23.4478,122.7946,0.575098
Lake Cronin,304,AUS,0.13,65,500,-11.9767,132.38333,
Lake Grace System,305,AUS,132,212,1.606061,-33.0667,118.3167,0.087872
Anneen Lake (Lake Nannine),306,AUS,120,143,1.191667,-26.8,118.1667,0.427756
Breberle Lake,307,AUS,7.5,4,0.533333,-26.3333,115.9667,0.409969
Lake Ballard,308,AUS,600,44,0.073333,-29.2833,120.5667,0.01899
Lake Barlee,309,AUS,1943.8,131,0.067394,-28.85,118.95,0.499544
Lake Marmion,310,AUS,353,14,0.03966,-29.5667,121.3167,0.318897
Wooleen Lake,311,AUS,22,6,0.272727,-27.0667,116.1833,0.282029
Drysdale River,312,AUS,51,142,2.784314,-14.5333,126.7,0.193791
Mitchell River System,313,AUS,41.4,13,0.31401,-14.4833,125.4333,
Prince Regent River System,314,AUS,143,39,0.272727,-15.2333,124.95,0.214808
De Grey River,315,AUS,136,25,0.183824,-19.9667,119.1667,0.013622
Fortescue Marshes,316,AUS,1000,253,0.253,-22.0833,118.1,0.53322
Karijini (Hamersley Range) Gorges,317,AUS,0.8,2,2.5,-22.2167,118,0.397748
Millstream Pools,318,AUS,1.5,13,8.666667,-21.5833,117.0833,0.338018
Benger Swamp,319,AUS,5.72,34,5.944056,-33.1667,115.8333,0.509102
Booragoon Lake,320,AUS,0.13,9,69.23077,-32.05,115.8333,0.573021
Brixton Street Swamps,321,AUS,0.3,444,1480,-32.0333,115.9667,0.564417
Chandala Swamp,322,AUS,1,20,20,-31.5,115.9667,0.502849
Ellen Brook Swamps System,323,AUS,0.2,36,180,-31.75,116.0333,0.474798
Gibbs Road Swamp System,324,AUS,0.7,499,712.8571,-32.1333,115.8667,0.387053
Guraga Lake,325,AUS,3.5,8,2.285714,-30.8667,115.5667,0.181573
Herdsman Lake,326,AUS,2.5,119,47.6,-31.9167,115.8,0.597483
Joondalup Lake,327,AUS,5.3,70,13.20755,-31.75,115.7833,0.471728
Lake McLarty System,328,AUS,4,28,7,-32.6333,115.7,0.523123
Loch McNess System,329,AUS,2.55,76,29.80392,-31.5333,115.6833,0.210343
McCarley’s Swamp (Ludlow Swamp),330,AUS,0.25,1,4,-33.6,115.5,0.510987
