Name Wetland,ID,Region,Area (km2),Type of wetland,Species richness,Species normalized,lat,lon
Corsydd Mon a Llyn ,927,Wales,6.26,"Inland wetlands, U: Permanent Non-forested peatlands, O: Permanent freshwater lakes, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, Tp: Permanent freshwater marshes/ pools",717,114.5367412,53.17171,-4.35912
Crymlyn Bog,608,Wales,2.68,"Human-made wetlands, 9: Canals and drainage channels or ditches, Inland wetlands, W: Shrub-dominated wetlands, U: Permanent Non-forested peatlands, Tp: Permanent freshwater marshes/ pools",368,137.3134328,51.63441,-3.88443
Llyn Idwal,534,Wales,0.14,"Inland wetlands, O: Permanent freshwater lakes",117,835.7142857,53.11627,-4.02597
Llyn Tegid,535,Wales,4.82,"Inland wetlands, O: Permanent freshwater lakes",33,6.846473029,52.88681,-3.6247
Midland Meres and Mosses Phase 2,891,Wales,15.88,"Inland wetlands, Xp: Permanent Forested peatlands, W: Shrub-dominated wetlands, U: Permanent Non-forested peatlands, O: Permanent freshwater lakes",354,22.29219144,52.92405,-2.67863
Ballynahone Bog,967,Northern Ireland,2.43,"Inland wetlands, U: Permanent Non-forested peatlands, Xp: Permanent Forested peatlands",10,4.115226337,54.82297,-6.66572
Cuilcagh Mountain,968,Northern Ireland,27.44,"Inland wetlands, O: Permanent freshwater lakes, U: Permanent Non-forested peatlands",507,18.47667638,54.22609,-7.80164
Fairy Water Bogs,1033,Northern Ireland,2.24,"Inland wetlands, U: Permanent Non-forested peatlands",4,1.785714286,54.64384,-7.48344
Fardrum and Roosky Turloughs,1177,Northern Ireland,0.43,"Inland wetlands, U: Permanent Non-forested peatlands, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, Xf: Freshwater, tree-dominated wetlands, Human-made wetlands, 4: Seasonally flooded agricultural land",262,609.3023256,54.40118,-7.7257
Garron Plateau,969,Northern Ireland,46.5,"Inland wetlands, U: Permanent Non-forested peatlands, O: Permanent freshwater lakes",279,6,54.99491,-6.09044
Garry Bog,1042,Northern Ireland,1.55,"Inland wetlands, U: Permanent Non-forested peatlands",38,24.51612903,55.10853,-6.53091
Lough Neagh & Lough Beg,74,Northern Ireland,501.66,"Inland wetlands, U: Permanent Non-forested peatlands, O: Permanent freshwater lakes, W: Shrub-dominated wetlands, Xp: Permanent Forested peatlands",552,1.100346848,54.60166,-6.42745
Magheraveely Marl Loughs,1717,Northern Ireland,0.59,"Inland wetlands, Xf: Freshwater, tree-dominated wetlands, O: Permanent freshwater lakes, U: Permanent Non-forested peatlands",234,396.6101695,54.18333,-7.26667
Pettigoe Plateau,872,Northern Ireland,12.64,"Inland wetlands, U: Permanent Non-forested peatlands",286,22.62658228,54.52612,-7.9887
Slieve Beagh,1035,Northern Ireland,18.85,"Inland wetlands, U: Permanent Non-forested peatlands, O: Permanent freshwater lakes",184,9.76127321,54.34831,-7.19356
Turmennan Lough,1178,Northern Ireland,0.15,"Human-made wetlands, 4: Seasonally flooded agricultural land, Inland wetlands, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, U: Permanent Non-forested peatlands, W: Shrub-dominated wetlands, Xf: Freshwater, tree-dominated wetlands",89,593.3333333,54.37983,-5.71449
Upper Lough Erne,896,Northern Ireland,58.18,"Inland wetlands, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, U: Permanent Non-forested peatlands, Tp: Permanent freshwater marshes/ pools, O: Permanent freshwater lakes, Human-made wetlands, 4: Seasonally flooded agricultural land",774,13.30354074,54.20618,-7.4945
Abberton Reservoir,1,England,7.26,"Inland wetlands, Tp: Permanent freshwater marshes/ pools, M: Permanent rivers/ streams/ creeks, Human-made wetlands, 6: Water storage areas/Reservoirs",6,0.826446,51.875,0.875
Arun Valley,3,England,52.9,"Human-made wetlands, 9: Canals and drainage channels or ditches, Inland wetlands, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils",491,9.281664,50.9583,-0.54167
Avon Valley,4,England,13.85,"Inland wetlands, M: Permanent rivers/ streams/ creeks, Xf: Freshwater, tree-dominated wetlands, Human-made wetlands, 4: Seasonally flooded agricultural land, 7: Excavations",418,30.18051,50.7917,-1.79167
Benfleet and Southend Marshes,5,England,22.51,"Inland wetlands, Tp: Permanent freshwater marshes/ pools, M: Permanent rivers/ streams/ creeks, Marine or coastal wetlands, J: Coastal brackish / saline lagoons, H: Intertidal marshes, G: Intertidal mud, sand or salt flats, B: Marine subtidal aquatic beds (Underwater vegetation)",152,6.752554,51.5417,0.708333
Blackwater Estuary,6,England,43.95,"Human-made wetlands, 4: Seasonally flooded agricultural land, Inland wetlands, Tp: Permanent freshwater marshes/ pools, M: Permanent rivers/ streams/ creeks, Marine or coastal wetlands, K: Coastal freshwater lagoons, J: Coastal brackish / saline lagoons, H: Intertidal marshes, E: Sand, shingle or pebble shores, G: Intertidal mud, sand or salt flats",465,10.5802,51.7917,0.875
Breydon Water,7,England,12.03,"Inland wetlands, Sp: Permanent saline/ brackish/ alkaline marshes/ pools, Marine or coastal wetlands, H: Intertidal marshes, J: Coastal brackish / saline lagoons, F: Estuarine waters, G: Intertidal mud, sand or salt flats",1193,99.16874,52.625,1.625
Broadland,8,England,46.23,"Inland wetlands, M: Permanent rivers/ streams/ creeks, O: Permanent freshwater lakes, Q: Permanent saline/ brackish/ alkaline lakes, Tp: Permanent freshwater marshes/ pools, U: Permanent Non-forested peatlands, W: Shrub-dominated wetlands, Xf: Freshwater, tree-dominated wetlands",1846,39.93078,52.7083,1.625
Chippenham Fen,11,England,1.12,"Inland wetlands, Xp: Permanent Forested peatlands, W: Shrub-dominated wetlands, U: Permanent Non-forested peatlands, Tp: Permanent freshwater marshes/ pools, M: Permanent rivers/ streams/ creeks, Human-made wetlands, 9: Canals and drainage channels or ditches",251,224.1071,52.2917,0.458333
Crouch and Roach Estuaries,13,England,17.36,"Human-made wetlands, 4: Seasonally flooded agricultural land, Inland wetlands, Tp: Permanent freshwater marshes/ pools, Sp: Permanent saline/ brackish/ alkaline marshes/ pools, Marine or coastal wetlands, K: Coastal freshwater lagoons, J: Coastal brackish / saline lagoons, H: Intertidal marshes, G: Intertidal mud, sand or salt flats",132,7.603687,51.625,0.708333
Deben Estuary,14,England,9.79,"Inland wetlands, U: Permanent Non-forested peatlands, Marine or coastal wetlands, H: Intertidal marshes, G: Intertidal mud, sand or salt flats, F: Estuarine waters, E: Sand, shingle or pebble shores",1131,115.526,52.0417,1.375
Dersingham Bog,17,England,1.58,"Inland wetlands, Y: Permanent Freshwater springs; oases, U: Permanent Non-forested peatlands, Tp: Permanent freshwater marshes/ pools",448,283.5443,52.875,0.458333
Dorset Heathlands,18,England,67.3,"Inland wetlands, O: Permanent freshwater lakes, Xp: Permanent Forested peatlands, Xf: Freshwater, tree-dominated wetlands, W: Shrub-dominated wetlands, Tp: Permanent freshwater marshes/ pools, M: Permanent rivers/ streams/ creeks, U: Permanent Non-forested peatlands, Human-made wetlands, 4: Seasonally flooded agricultural land, Marine or coastal wetlands, E: Sand, shingle or pebble shores",2001,29.73254,50.625,-2.20833
Esthwaite Water,20,England,1.37,"Inland wetlands, Tp: Permanent freshwater marshes/ pools, U: Permanent Non-forested peatlands, O: Permanent freshwater lakes, Xf: Freshwater, tree-dominated wetlands, Human-made wetlands, 4: Seasonally flooded agricultural land",67,48.90511,54.375,-2.95833
Exe Estuary,21,England,23.46,"Inland wetlands, Tp: Permanent freshwater marshes/ pools, Marine or coastal wetlands, H: Intertidal marshes, G: Intertidal mud, sand or salt flats, F: Estuarine waters, E: Sand, shingle or pebble shores, B: Marine subtidal aquatic beds (Underwater vegetation), Human-made wetlands, 9: Canals and drainage channels or ditches",1405,59.88917,50.625,-3.45833
Gibraltar Point,23,England,4.14,"Inland wetlands, Tp: Permanent freshwater marshes/ pools, Q: Permanent saline/ brackish/ alkaline lakes, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, Human-made wetlands, 2: Ponds, Marine or coastal wetlands, H: Intertidal marshes, G: Intertidal mud, sand or salt flats",122,29.4686,53.125,0.375
Holburn Lake and Moss,25,England,0.28,"Inland wetlands, Tp: Permanent freshwater marshes/ pools, Xp: Permanent Forested peatlands, U: Permanent Non-forested peatlands, W: Shrub-dominated wetlands",3,10.71429,55.625,-1.95833
Irthinghead Mires,27,England,7.92,"Inland wetlands, U: Permanent Non-forested peatlands",240,30.30303,55.125,-2.54167
Isles of Scilly,28,England,40.2,"Inland wetlands, Tp: Permanent freshwater marshes/ pools, Marine or coastal wetlands, E: Sand, shingle or pebble shores, D: Rocky marine shores",1700,42.28856,49.9583,-6.375
Lee Valley,29,England,44.8,"Inland wetlands, U: Permanent Non-forested peatlands, Human-made wetlands, 7: Excavations, 8: Wastewater treatment areas, 6: Water storage areas/Reservoirs",1074,23.97321,51.625,-0.04167
Leighton Moss,30,England,1.29,"Inland wetlands, U: Permanent Non-forested peatlands, O: Permanent freshwater lakes, W: Shrub-dominated wetlands",206,159.6899,54.2083,-2.79167
Lower Derwent Valley,32,England,9.15,"Inland wetlands, M: Permanent rivers/ streams/ creeks, Tp: Permanent freshwater marshes/ pools, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, W: Shrub-dominated wetlands, Xf: Freshwater, tree-dominated wetlands, Human-made wetlands, 4: Seasonally flooded agricultural land",537,58.68852,53.875,-0.95833
Malham Tarn,33,England,2.86,"Inland wetlands, U: Permanent Non-forested peatlands, W: Shrub-dominated wetlands, Tp: Permanent freshwater marshes/ pools, O: Permanent freshwater lakes, M: Permanent rivers/ streams/ creeks",509,177.972,54.125,-2.20833
Martin Mere,34,England,1.2,"Inland wetlands, Xf: Freshwater, tree-dominated wetlands, U: Permanent Non-forested peatlands, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, O: Permanent freshwater lakes",73,60.83333,53.625,-2.875
Medway Estuary and Marshes,35,England,46.97,"Inland wetlands, M: Permanent rivers/ streams/ creeks, Tp: Permanent freshwater marshes/ pools, Marine or coastal wetlands, H: Intertidal marshes, G: Intertidal mud, sand or salt flats, E: Sand, shingle or pebble shores, Human-made wetlands, 4: Seasonally flooded agricultural land",110,2.34192,51.375,0.625
Mersey Estuary,36,England,50.33,"Marine or coastal wetlands, H: Intertidal marshes, G: Intertidal mud, sand or salt flats, F: Estuarine waters",1323,26.28651,53.2917,-2.875
Midland Meres and Mosses (Phase 1),37,England,5.11,"Inland wetlands, Tp: Permanent freshwater marshes/ pools, O: Permanent freshwater lakes, W: Shrub-dominated wetlands, U: Permanent Non-forested peatlands, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils",905,177.1037,52.9583,-2.79167
Midland Meres and Mosses (Phase 2),38,England,15.88,"Inland wetlands, Xp: Permanent Forested peatlands, W: Shrub-dominated wetlands, U: Permanent Non-forested peatlands, O: Permanent freshwater lakes",858,54.03023,52.9583,-2.79167
Minsmere-Walberswick,39,England,20.19,"Inland wetlands, U: Permanent Non-forested peatlands, M: Permanent rivers/ streams/ creeks, Marine or coastal wetlands, F: Estuarine waters, E: Sand, shingle or pebble shores, H: Intertidal marshes, J: Coastal brackish / saline lagoons, G: Intertidal mud, sand or salt flats",3224,159.683,52.2917,1.625
Nene Washes,41,England,15.17,"Human-made wetlands, 4: Seasonally flooded agricultural land",161,10.61305,52.625,-0.04167
The New Forest,42,England,16.12,"Inland wetlands, Xp: Permanent Forested peatlands, Xf: Freshwater, tree-dominated wetlands, W: Shrub-dominated wetlands, U: Permanent Non-forested peatlands, M: Permanent rivers/ streams/ creeks",1414,87.71712,50.875,-1.625
North Norfolk Coast,43,England,78.87,"Inland wetlands, Tp: Permanent freshwater marshes/ pools, Marine or coastal wetlands, J: Coastal brackish / saline lagoons, G: Intertidal mud, sand or salt flats, E: Sand, shingle or pebble shores, H: Intertidal marshes",1740,22.06162,52.9583,0.791667
Northumbria Coast,44,England,11.08,"Inland wetlands, M: Permanent rivers/ streams/ creeks, Marine or coastal wetlands, E: Sand, shingle or pebble shores, D: Rocky marine shores",1050,94.76534,55.375,-1.625
Ouse Washes,45,England,24.69,"Human-made wetlands, 4: Seasonally flooded agricultural land",465,18.83354,52.4583,0.208333
Pagham Harbour,46,England,6.37,"Inland wetlands, M: Permanent rivers/ streams/ creeks, Sp: Permanent saline/ brackish/ alkaline marshes/ pools, W: Shrub-dominated wetlands, Tp: Permanent freshwater marshes/ pools, Marine or coastal wetlands, G: Intertidal mud, sand or salt flats, F: Estuarine waters, A: Permanent shallow marine waters, H: Intertidal marshes, E: Sand, shingle or pebble shores, J: Coastal brackish / saline lagoons, Human-made wetlands, 9: Canals and drainage channels or ditches",756,118.6813,50.7917,-0.79167
Poole Harbour,48,England,24.39,"Inland wetlands, Tp: Permanent freshwater marshes/ pools, U: Permanent Non-forested peatlands, Human-made wetlands, 4: Seasonally flooded agricultural land, Marine or coastal wetlands, G: Intertidal mud, sand or salt flats, H: Intertidal marshes",801,32.84133,50.7083,-2.125
Redgrave and South Lopham Fens,50,England,1.27,"Inland wetlands, U: Permanent Non-forested peatlands, M: Permanent rivers/ streams/ creeks, Tp: Permanent freshwater marshes/ pools, Xp: Permanent Forested peatlands, W: Shrub-dominated wetlands, Human-made wetlands, 9: Canals and drainage channels or ditches",616,485.0394,52.375,1.04167
Rostherne Mere,52,England,0.8,"Inland wetlands, O: Permanent freshwater lakes, U: Permanent Non-forested peatlands",122,152.5,53.375,-2.375
Roydon Common,53,England,1.94,"Inland wetlands, U: Permanent Non-forested peatlands",614,316.4948,52.7917,0.541667
Rutland Water,54,England,13.6,"Human-made wetlands, 6: Water storage areas/Reservoirs",565,41.54412,52.625,-0.70833
Severn Estuary,55,England,247.01,"Inland wetlands, O: Permanent freshwater lakes, Tp: Permanent freshwater marshes/ pools, Marine or coastal wetlands, B: Marine subtidal aquatic beds (Underwater vegetation), D: Rocky marine shores, E: Sand, shingle or pebble shores, F: Estuarine waters, G: Intertidal mud, sand or salt flats, H: Intertidal marshes",3962,16.03984,51.7083,-2.54167
Somerset Levels and Moors,57,England,63.88,"Inland wetlands, Xp: Permanent Forested peatlands, O: Permanent freshwater lakes, U: Permanent Non-forested peatlands, Human-made wetlands, 4: Seasonally flooded agricultural land, 9: Canals and drainage channels or ditches",1301,20.36631,51.125,-2.875
South West London Waterbodies,58,England,82.8,"Human-made wetlands, 6: Water storage areas/Reservoirs, 7: Excavations",35,0.422705,51.4583,-0.54167
Stodmarsh,59,England,4.81,"Inland wetlands, U: Permanent Non-forested peatlands, W: Shrub-dominated wetlands, Tp: Permanent freshwater marshes/ pools, Q: Permanent saline/ brackish/ alkaline lakes, O: Permanent freshwater lakes, M: Permanent rivers/ streams/ creeks, Xf: Freshwater, tree-dominated wetlands",131,27.23493,51.2917,1.20833
Stour and Orwell Estuaries,60,England,33.24,"Human-made wetlands, 4: Seasonally flooded agricultural land, Marine or coastal wetlands, H: Intertidal marshes, G: Intertidal mud, sand or salt flats, F: Estuarine waters, E: Sand, shingle or pebble shores",1446,43.50181,51.9583,1.20833
The Swale,62,England,65.15,"Inland wetlands, N: Seasonal/ intermittent/ irregular rivers/ streams/ creeks, Marine or coastal wetlands, E: Sand, shingle or pebble shores, G: Intertidal mud, sand or salt flats, H: Intertidal marshes, Human-made wetlands, 4: Seasonally flooded agricultural land",317,4.865695,51.375,0.875
Thursley and Ockley Bog,65,England,2.65,"Inland wetlands, U: Permanent Non-forested peatlands",151,56.98113,51.2083,-0.70833
Upper Nene Valley Gravel Pits,66,England,13.85,"Human-made wetlands, 6: Water storage areas/Reservoirs, 7: Excavations, 4: Seasonally flooded agricultural land, Inland wetlands, Ts: Seasonal/ intermittent freshwater marshes/ pools on inorganic soils, Xf: Freshwater, tree-dominated wetlands",588,42.45487,52.375,-0.54167
Walmore Common,68,England,0.53,"Human-made wetlands, 4: Seasonally flooded agricultural land, 9: Canals and drainage channels or ditches",111,209.434,51.7917,-2.375
Wicken Fen,70,England,2.54,"Inland wetlands, U: Permanent Non-forested peatlands",844,332.2835,52.2917,0.291667
Woodwalton Fen,71,England,2.08,"Inland wetlands, U: Permanent Non-forested peatlands",163,78.36538,52.4583,-0.20833
